,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.0,0.0,0.0,-12.0,-1.0,0.0,76.0,27.0,-1.0,42.0,12.0,50.0,50.0,858.0,8.0,76.0,-0.0,2897.0,25.0,-332.0,136.0,-7.0,0.0,-0.0,-18.0,105.0,325.0,23.0,4.0,1.0,-32.0
RM,0.0,1.0,1.0,-20.0,-13.0,0.0,-125.0,-7.0,4.0,19.0,-3.0,-2.0,13.0,-551.0,13.0,121.0,-1.0,-2786.0,-40.0,518.0,75.0,2.0,0.0,-0.0,-3.0,236.0,-9.0,25.0,-1.0,-3.0,284.0
RMI,0.0,1.0,3.0,-10.0,-16.0,2.0,-554.0,39.0,18.0,-43.0,-39.0,-189.0,-221.0,-2428.0,-26.0,5.0,-3.0,-16780.0,-136.0,596.0,667.0,-12.0,1.0,-1.0,-11.0,-417.0,256.0,106.0,-14.0,-17.0,100.0
Emigranti,-12.0,-20.0,-10.0,779.0,309.0,-4.0,-602.0,870.0,-98.0,-2011.0,-191.0,-1727.0,-2034.0,-14587.0,-706.0,-5185.0,15.0,-46612.0,263.0,-8664.0,2024.0,22.0,4.0,5.0,149.0,-9366.0,1055.0,-1202.0,-49.0,7.0,-9049.0
Imigranti,-1.0,-13.0,-16.0,309.0,338.0,-13.0,6023.0,39.0,-151.0,596.0,354.0,1475.0,1148.0,35660.0,-77.0,-1354.0,32.0,164345.0,1688.0,-18834.0,-3309.0,-115.0,-1.0,9.0,-107.0,-2722.0,2049.0,-322.0,121.0,140.0,-6540.0
RS,0.0,0.0,2.0,-4.0,-13.0,2.0,-303.0,31.0,17.0,-80.0,-27.0,-147.0,-159.0,-1074.0,9.0,-163.0,-1.0,-9155.0,-81.0,1424.0,275.0,5.0,0.0,-0.0,17.0,-557.0,208.0,42.0,-5.0,-6.0,-17.0
Sal,76.0,-125.0,-554.0,-602.0,6023.0,-303.0,215290.0,-11992.0,-3246.0,38403.0,14304.0,70890.0,68537.0,1399156.0,12194.0,6468.0,1036.0,6383139.0,52459.0,-303738.0,-178777.0,-1159.0,-173.0,366.0,-919.0,27340.0,34491.0,-2476.0,5278.0,5379.0,-82148.0
CSom,27.0,-7.0,39.0,870.0,39.0,31.0,-11992.0,6814.0,-180.0,-5948.0,-402.0,-5597.0,-5090.0,-80279.0,-1547.0,-8392.0,-88.0,-340053.0,-1189.0,-9241.0,32567.0,-192.0,42.0,-8.0,-954.0,-12829.0,34312.0,-2567.0,-45.0,-239.0,-19040.0
AjSoc,-1.0,4.0,18.0,-98.0,-151.0,17.0,-3246.0,-180.0,213.0,-485.0,-328.0,-1468.0,-1709.0,-10486.0,122.0,-1096.0,-3.0,-101428.0,-994.0,15682.0,1361.0,43.0,-0.0,-3.0,239.0,-5589.0,-570.0,783.0,-85.0,-80.0,1362.0
Pensie,42.0,19.0,-43.0,-2011.0,596.0,-80.0,38403.0,-5948.0,-485.0,15503.0,2965.0,18185.0,17245.0,274084.0,2381.0,22405.0,104.0,1176237.0,8408.0,-93829.0,-33228.0,-1034.0,-33.0,4.0,-1627.0,37504.0,-5519.0,5103.0,797.0,700.0,11351.0
PopScolara,12.0,-3.0,-39.0,-191.0,354.0,-27.0,14304.0,-402.0,-328.0,2965.0,1122.0,5488.0,5672.0,88807.0,751.0,2643.0,50.0,439650.0,3614.0,-27678.0,-9723.0,-132.0,-8.0,20.0,-375.0,8512.0,4503.0,-440.0,384.0,351.0,-3767.0
PaturiUS,50.0,-2.0,-189.0,-1727.0,1475.0,-147.0,70890.0,-5597.0,-1468.0,18185.0,5488.0,29211.0,29959.0,443697.0,4163.0,21421.0,244.0,2182362.0,16924.0,-133348.0,-59122.0,-680.0,-56.0,84.0,-1700.0,55605.0,2738.0,-6.0,1762.0,1662.0,-1886.0
Medici,50.0,13.0,-221.0,-2034.0,1148.0,-159.0,68537.0,-5090.0,-1709.0,17245.0,5672.0,29959.0,32392.0,403985.0,4446.0,24532.0,210.0,2161074.0,16363.0,-119470.0,-59532.0,-291.0,-58.0,90.0,-1690.0,73758.0,-217.0,-2380.0,1819.0,1686.0,7084.0
VolumeB,858.0,-551.0,-2428.0,-14587.0,35660.0,-1074.0,1399156.0,-80279.0,-10486.0,274084.0,88807.0,443697.0,403985.0,10040604.0,95440.0,10209.0,7058.0,41282132.0,333702.0,-1575562.0,-1097344.0,-12680.0,-1107.0,2329.0,-4143.0,-165628.0,429580.0,53278.0,34662.0,33925.0,-584278.0
SpectatoriS,8.0,13.0,-26.0,-706.0,-77.0,9.0,12194.0,-1547.0,122.0,2381.0,751.0,4163.0,4446.0,95440.0,2005.0,483.0,74.0,385931.0,2327.0,24593.0,-15698.0,268.0,-22.0,35.0,573.0,758.0,321.0,562.0,373.0,362.0,2774.0
VizitatoriM,76.0,121.0,5.0,-5185.0,-1354.0,-163.0,6468.0,-8392.0,-1096.0,22405.0,2643.0,21421.0,24532.0,10209.0,483.0,66646.0,-274.0,408628.0,-116.0,-136415.0,-9669.0,-1502.0,-7.0,-138.0,-4710.0,146044.0,-37127.0,6402.0,20.0,-349.0,82595.0
SportiviL,-0.0,-1.0,-3.0,15.0,32.0,-1.0,1036.0,-88.0,-3.0,104.0,50.0,244.0,210.0,7058.0,74.0,-274.0,7.0,29309.0,239.0,-188.0,-1133.0,8.0,-1.0,3.0,39.0,-628.0,-47.0,-12.0,23.0,28.0,-594.0
PIB,2897.0,-2786.0,-16780.0,-46612.0,164345.0,-9155.0,6383139.0,-340053.0,-101428.0,1176237.0,439650.0,2182362.0,2161074.0,41282132.0,385931.0,408628.0,29309.0,191387686.0,1552622.0,-8725646.0,-5257446.0,-29626.0,-5115.0,10888.0,-40942.0,1498589.0,1139361.0,-98207.0,161427.0,160611.0,-2075248.0
SalariatiC,25.0,-40.0,-136.0,263.0,1688.0,-81.0,52459.0,-1189.0,-994.0,8408.0,3614.0,16924.0,16363.0,333702.0,2327.0,-116.0,239.0,1552622.0,13408.0,-94430.0,-36474.0,-445.0,-30.0,87.0,-681.0,5237.0,17221.0,-1564.0,1322.0,1307.0,-27659.0
PAgrVeg,-332.0,518.0,596.0,-8664.0,-18834.0,1424.0,-303738.0,-9241.0,15682.0,-93829.0,-27678.0,-133348.0,-119470.0,-1575562.0,24593.0,-136415.0,-188.0,-8725646.0,-94430.0,2099261.0,-909.0,18135.0,-237.0,295.0,35747.0,-305655.0,-161244.0,2566.0,-5459.0,-4378.0,233480.0
PAgrAnim,136.0,75.0,667.0,2024.0,-3309.0,275.0,-178777.0,32567.0,1361.0,-33228.0,-9723.0,-59122.0,-59532.0,-1097344.0,-15698.0,-9669.0,-1133.0,-5257446.0,-36474.0,-909.0,263989.0,-2763.0,314.0,-388.0,-7370.0,-47059.0,130616.0,3045.0,-3706.0,-4855.0,-16855.0
