,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.0,-0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-1.0,-0.0,0.0,-0.0,-1.0,1.0,-1.0,-1.0,-0.0,0.0,-1.0
RM,-0.0,1.0,0.0,-1.0,-1.0,0.0,-0.0,-0.0,1.0,-1.0,-1.0,0.0,-0.0,-0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-0.0,0.0,-1.0,0.0,-1.0,-0.0,0.0,-1.0,-1.0,-0.0
RMI,0.0,0.0,1.0,-0.0,-0.0,-1.0,0.0,-1.0,0.0,-0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0
Emigranti,-0.0,-1.0,-0.0,1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,-0.0,0.0,0.0,1.0,1.0,-0.0,1.0,1.0,-1.0,-0.0,0.0,-1.0,1.0,-0.0,0.0,1.0,-0.0,1.0,1.0,1.0
Imigranti,-0.0,-1.0,-0.0,1.0,1.0,-1.0,1.0,-0.0,-1.0,1.0,1.0,-0.0,0.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-1.0,-0.0,1.0,-1.0,1.0,-0.0,1.0,0.0,-1.0,1.0,1.0,1.0
RS,0.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,1.0,0.0,-0.0,1.0,-1.0,0.0,-0.0,-0.0,0.0,-1.0,-1.0,-1.0
Sal,-0.0,-0.0,0.0,1.0,1.0,-1.0,1.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,-0.0,0.0,-1.0,1.0,-0.0,0.0,0.0,-0.0,1.0,1.0,1.0
CSom,-1.0,-0.0,-1.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,-1.0,-1.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,-1.0,1.0,1.0,-0.0,0.0,0.0
AjSoc,-0.0,1.0,0.0,-1.0,-1.0,0.0,-0.0,-0.0,1.0,-1.0,-1.0,0.0,0.0,-0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,-0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
Pensie,0.0,-1.0,-0.0,1.0,1.0,-1.0,1.0,-0.0,-1.0,1.0,1.0,-0.0,0.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,-1.0,1.0,1.0,1.0
PopScolara,0.0,-1.0,0.0,1.0,1.0,-1.0,1.0,-0.0,-1.0,1.0,1.0,-0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-0.0,1.0,0.0,-0.0,1.0,1.0,1.0
PaturiUS,1.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.0,0.0,-0.0,-0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-1.0,-0.0,-0.0,-0.0,-1.0
Medici,0.0,-0.0,1.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
VolumeB,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,1.0,-0.0,-0.0,0.0,-0.0,0.0,1.0,-0.0,0.0,-0.0,0.0,1.0,-0.0,-0.0,-1.0,-0.0,0.0,0.0,-0.0,1.0,1.0,-0.0,0.0,0.0
SpectatoriS,0.0,-1.0,-0.0,1.0,1.0,-1.0,1.0,-0.0,-1.0,1.0,1.0,-0.0,0.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-1.0,-1.0,1.0,-0.0,1.0,-0.0,1.0,0.0,-1.0,1.0,1.0,0.0
VizitatoriM,0.0,-1.0,0.0,1.0,1.0,-1.0,1.0,-0.0,-1.0,1.0,1.0,-0.0,0.0,0.0,1.0,1.0,-0.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.0,1.0,0.0,-1.0,1.0,1.0,1.0
SportiviL,0.0,1.0,1.0,-0.0,-0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PIB,-0.0,-1.0,-0.0,1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,-0.0,0.0,0.0,1.0,1.0,-0.0,1.0,1.0,-1.0,-0.0,1.0,-1.0,1.0,0.0,1.0,1.0,-0.0,1.0,1.0,1.0
SalariatiC,0.0,-1.0,-0.0,1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,-0.0,0.0,1.0,1.0,1.0,-0.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-0.0,0.0,1.0,-0.0,1.0,1.0,1.0
PAgrVeg,-0.0,1.0,-0.0,-1.0,-1.0,1.0,-1.0,-0.0,1.0,-1.0,-1.0,1.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,1.0,1.0,-0.0,0.0,-1.0,0.0,-0.0,-0.0,0.0,-1.0,-1.0,-0.0
PAgrAnim,-1.0,1.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,1.0,1.0,0.0,0.0,-0.0,1.0,-1.0,0.0,0.0,-0.0,-0.0,0.0
ServAgr,-0.0,-0.0,-0.0,0.0,1.0,-0.0,0.0,-0.0,-0.0,1.0,0.0,0.0,-0.0,-1.0,1.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-0.0,-1.0,1.0,0.0,0.0
Silvicultura,0.0,0.0,-0.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0,-0.0,-0.0,0.0,-1.0,-0.0,-1.0
SupLoc,-0.0,-1.0,-0.0,1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,1.0,1.0,-0.0,1.0,1.0,-1.0,-0.0,0.0,-1.0,1.0,0.0,0.0,1.0,-0.0,1.0,1.0,1.0
DrumuriM,-1.0,0.0,-1.0,-0.0,-0.0,0.0,-0.0,1.0,0.0,-0.0,-0.0,-0.0,-1.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,1.0,1.0,0.0,-0.0,0.0
Innoptari,1.0,-1.0,-0.0,0.0,1.0,-0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,-0.0,1.0,1.0,-0.0,1.0,0.0,-0.0,-1.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,-1.0,1.0,1.0,0.0
BugetVenituri,-1.0,-0.0,-1.0,1.0,0.0,-0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,-0.0,1.0,0.0,0.0,-0.0,1.0,1.0,-0.0,0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,1.0
