,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,-0.0,-1.0,-0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,-0.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0
RM,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,1.0,-1.0,-1.0,-0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,-0.0,-0.0,-0.0,0.0,0.0
RMI,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,-0.0,1.0,0.0,1.0,0.0,-0.0,-1.0,-1.0,0.0,-0.0,1.0,-1.0,0.0,-1.0,1.0,-0.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0
Emigranti,0.0,1.0,0.0,1.0,1.0,1.0,0.0,-1.0,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-1.0,1.0,1.0,-0.0,0.0,-1.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0
Imigranti,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,1.0,-0.0,0.0,0.0,1.0,1.0,-0.0,-0.0,1.0,-1.0,1.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0
RS,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,-0.0,0.0,-0.0,1.0,0.0,0.0,-1.0,-0.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,1.0,-0.0,-1.0,-0.0,-1.0,-0.0,1.0,1.0
Sal,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.0,0.0,-0.0,1.0,0.0,1.0,0.0,-0.0,-1.0,-1.0,0.0,-0.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,1.0
CSom,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,1.0,-1.0,0.0,-0.0,1.0,-0.0,0.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0.0,-1.0,-1.0
AjSoc,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,-0.0,1.0,-0.0,1.0,0.0,0.0,-0.0,-0.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,-0.0,-0.0,-0.0,1.0,0.0
Pensie,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0,1.0,-0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,-1.0,-0.0,-1.0,1.0,-0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-1.0
PopScolara,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-1.0,-0.0,-0.0,1.0,-0.0,-1.0,-1.0,-0.0,-0.0,0.0,0.0
PaturiUS,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,-0.0,-1.0,-0.0,-1.0,0.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
Medici,1.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.0,1.0,-0.0,1.0,1.0,1.0,1.0,-1.0,-0.0,0.0,0.0,0.0,0.0,-1.0,-0.0,-0.0,1.0,-1.0,-0.0,-1.0,-1.0,-0.0,0.0,0.0
