,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.0,-1.0,0.0,0.0,73.0,-1.0,136.0,-3.0,-5.0,-18.0,16.0,18.0,59.0,674.0,23.0,54.0,1.0,4680.0,72.0,-390.0,-107.0,-23.0,0.0,1.0,-67.0,58.0,52.0,-64.0,-2.0,2.0,501.0
RM,-1.0,5.0,1.0,-70.0,-287.0,1.0,-297.0,-17.0,14.0,-94.0,-37.0,-129.0,-151.0,-2022.0,-67.0,-431.0,-3.0,-15258.0,-174.0,1821.0,331.0,104.0,-0.0,-3.0,103.0,-875.0,-294.0,111.0,-6.0,-12.0,-1719.0
RMI,0.0,1.0,3.0,-24.0,-155.0,0.0,-261.0,15.0,4.0,-53.0,-4.0,-79.0,-76.0,-368.0,5.0,146.0,-2.0,-11857.0,-114.0,330.0,384.0,-7.0,0.0,-1.0,7.0,214.0,117.0,121.0,-2.0,-4.0,-573.0
Emigranti,0.0,-70.0,-24.0,6634.0,22770.0,-1.0,9072.0,-155.0,-29.0,3200.0,1010.0,4097.0,4582.0,72937.0,1519.0,11646.0,5.0,292213.0,3926.0,-43887.0,-9684.0,556.0,-14.0,-10.0,-232.0,2754.0,11623.0,-480.0,176.0,396.0,17728.0
Imigranti,73.0,-287.0,-155.0,22770.0,141073.0,103.0,27958.0,-3098.0,926.0,-1601.0,3428.0,11588.0,10046.0,271052.0,2100.0,-12435.0,-230.0,107853.0,9916.0,-115531.0,-36951.0,980.0,-84.0,-183.0,-5880.0,-82979.0,17494.0,2437.0,-1336.0,-78.0,-143967.0
RS,-1.0,1.0,0.0,-1.0,103.0,3.0,-332.0,-22.0,26.0,-98.0,-17.0,-72.0,-134.0,-1042.0,-24.0,-273.0,-4.0,-18176.0,-149.0,1025.0,301.0,-4.0,0.0,-3.0,67.0,-527.0,-276.0,74.0,-9.0,-9.0,-2036.0
Sal,136.0,-297.0,-261.0,9072.0,27958.0,-332.0,137726.0,-471.0,-3169.0,33849.0,7529.0,38177.0,52949.0,674925.0,13226.0,45343.0,761.0,6118189.0,51033.0,-262191.0,-130930.0,9244.0,-122.0,531.0,-21100.0,17424.0,69651.0,-34676.0,2592.0,3492.0,530054.0
CSom,-3.0,-17.0,15.0,-155.0,-3098.0,-22.0,-471.0,5603.0,-310.0,5578.0,215.0,4206.0,1318.0,45499.0,64.0,5729.0,97.0,279978.0,1511.0,-22086.0,3223.0,-1566.0,18.0,0.0,699.0,-3250.0,16349.0,-688.0,323.0,507.0,34032.0
AjSoc,-5.0,14.0,4.0,-29.0,926.0,26.0,-3169.0,-310.0,282.0,-1288.0,-168.0,-916.0,-1272.0,-12015.0,-201.0,-2214.0,-31.0,-190589.0,-1429.0,10569.0,3007.0,-290.0,-0.0,-24.0,594.0,-6581.0,-2860.0,863.0,-119.0,-110.0,-19162.0
Pensie,-18.0,-94.0,-53.0,3200.0,-1601.0,-98.0,33849.0,5578.0,-1288.0,35216.0,2371.0,21060.0,16410.0,222908.0,6861.0,59094.0,262.0,2289453.0,14256.0,-155937.0,-58139.0,-693.0,6.0,128.0,-3230.0,71111.0,20055.0,-14488.0,2056.0,2388.0,178258.0
PopScolara,16.0,-37.0,-4.0,1010.0,3428.0,-17.0,7529.0,215.0,-168.0,2371.0,914.0,4126.0,4344.0,65792.0,1434.0,6374.0,55.0,367405.0,2277.0,-19381.0,-5866.0,-211.0,1.0,0.0,-1601.0,9191.0,4962.0,-2243.0,227.0,315.0,28316.0
PaturiUS,18.0,-129.0,-79.0,4097.0,11588.0,-72.0,38177.0,4206.0,-916.0,21060.0,4126.0,33774.0,26256.0,381228.0,7139.0,28915.0,365.0,2275151.0,10850.0,-93534.0,-34619.0,754.0,16.0,-52.0,-4767.0,53202.0,23233.0,-13405.0,1583.0,2134.0,114064.0
Medici,59.0,-151.0,-76.0,4582.0,10046.0,-134.0,52949.0,1318.0,-1272.0,16410.0,4344.0,26256.0,32641.0,332822.0,5991.0,23522.0,462.0,2539050.0,16895.0,-92009.0,-43545.0,2047.0,-28.0,117.0,-9565.0,35595.0,23078.0,-16825.0,1335.0,1902.0,229511.0
