Indicativ,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
ab,7.0,16.0,6.0,137.0,52.0,4.0,2846.0,231.0,35.0,1590.0,169.0,643.0,213.0,8013.0,33.0,428.0,20.0,53150.0,34.0,3595.0,2740.0,32.0,1.0,24.0,550.0,865.0,3765.0,530.0,82.0,58.0,7533.0
ar,8.0,16.0,6.0,189.0,65.0,2.0,2761.0,138.0,13.0,1447.0,168.0,561.0,287.0,6711.0,34.0,66.0,22.0,55419.0,157.0,5296.0,1616.0,96.0,2.0,26.0,344.0,654.0,3717.0,486.0,73.0,41.0,8050.0
ag,8.0,16.0,6.0,85.0,27.0,4.0,3043.0,270.0,30.0,1681.0,170.0,621.0,264.0,6629.0,30.0,451.0,14.0,49788.0,332.0,2164.0,1149.0,2.0,1.0,24.0,112.0,463.0,2916.0,341.0,74.0,53.0,10782.0
bc,8.0,15.0,6.0,237.0,170.0,5.0,2825.0,114.0,52.0,1570.0,168.0,497.0,188.0,6634.0,41.0,96.0,9.0,34983.0,22.0,1849.0,1470.0,4.0,2.0,22.0,198.0,518.0,3386.0,545.0,59.0,46.0,1319.0
bh,9.0,16.0,6.0,95.0,32.0,2.0,2603.0,228.0,18.0,1532.0,192.0,751.0,446.0,5856.0,85.0,829.0,15.0,43819.0,4.0,3392.0,1689.0,23.0,1.0,23.0,153.0,2068.0,3665.0,513.0,71.0,50.0,3691.0
bn,9.0,14.0,7.0,163.0,62.0,3.0,2538.0,409.0,19.0,1337.0,175.0,546.0,177.0,5909.0,24.0,211.0,16.0,39194.0,46.0,2481.0,2416.0,9.0,2.0,23.0,145.0,543.0,4719.0,475.0,71.0,49.0,2389.0
bt,8.0,16.0,7.0,169.0,1035.0,3.0,2671.0,179.0,24.0,1273.0,164.0,580.0,171.0,7359.0,61.0,57.0,14.0,28396.0,5.0,4135.0,2658.0,44.0,1.0,22.0,254.0,161.0,3412.0,788.0,38.0,29.0,826.0
br,6.0,19.0,7.0,173.0,33.0,4.0,2607.0,165.0,32.0,1471.0,146.0,678.0,201.0,5524.0,65.0,105.0,14.0,40979.0,9.0,4108.0,1616.0,820.0,0.0,20.0,328.0,487.0,3277.0,555.0,103.0,71.0,727.0
bv,9.0,13.0,6.0,205.0,121.0,3.0,3111.0,167.0,24.0,1889.0,201.0,708.0,363.0,6818.0,557.0,3359.0,20.0,63697.0,269.0,965.0,1409.0,56.0,1.0,26.0,185.0,3599.0,3488.0,288.0,102.0,86.0,6354.0
bz,7.0,18.0,6.0,102.0,32.0,8.0,2644.0,170.0,68.0,1390.0,148.0,628.0,153.0,5500.0,102.0,326.0,19.0,36477.0,25.0,3396.0,2490.0,46.0,1.0,23.0,277.0,323.0,2934.0,374.0,85.0,48.0,1717.0
cl,8.0,19.0,8.0,98.0,36.0,4.0,2769.0,113.0,31.0,1336.0,139.0,429.0,124.0,5629.0,,263.0,12.0,32938.0,98.0,3535.0,2613.0,219.0,1.0,18.0,230.0,86.0,3426.0,758.0,54.0,29.0,1039.0
cs,6.0,16.0,4.0,269.0,62.0,3.0,2650.0,141.0,21.0,1581.0,137.0,659.0,201.0,5766.0,20.0,720.0,14.0,40666.0,,2501.0,1776.0,5.0,3.0,25.0,514.0,2102.0,3999.0,715.0,65.0,50.0,1333.0
cj,9.0,14.0,4.0,131.0,82.0,2.0,3744.0,205.0,10.0,1646.0,249.0,992.0,610.0,13945.0,124.0,458.0,22.0,75077.0,297.0,1664.0,900.0,10.0,0.0,25.0,163.0,1023.0,4145.0,527.0,96.0,78.0,2545.0
