Judet,Activitate,CifraAfaceri
ab,Lemnului,3750546399.0
ag,ConstructiiMasini,22996990520.0
ar,ConstructiiMasini,5735568905.0
b,Energetica,36200000000.0
bc,Alimentara,1158445859.0
bh,Textila,1693005456.0
bn,ConstructiiMasini,1465836035.0
br,ConstructiiMasini,431295841.0
bt,Textila,873764451.0
bv,ConstructiiMasini,7166247386.0
bz,Alimentara,2647494459.0
cj,Alimentara,1531990874.0
cl,Alimentara,415052360.0
cs,ConstructiiMasini,803153026.0
ct,ConstructiiMasini,1259933621.0
cv,Alimentara,723665362.0
db,Metalurgica,1270178936.0
dj,ConstructiiMasini,4514520561.0
gj,Energetica,2584301400.0
gl,Metalurgica,3960000000.0
gr,Alimentara,160964643.0
hd,Energetica,693821341.0
hr,Alimentara,1095766757.0
if,Alimentara,5535748886.0
il,Alimentara,1472930700.0
is,ConstructiiMasini,2115524680.0
mh,ChimicaFarmaceutica,226000000.0
mm,Mobila,1709064754.0
ms,Energetica,5524258904.0
nt,Textila,733757793.0
ot,Metalurgica,3462342730.0
ph,ConstructiiMasini,3419634388.0
sb,ConstructiiMasini,5044351395.0
sj,Metalurgica,2050695642.0
sm,Alimentara,2018846097.0
sv,Lemnului,2299805481.0
tl,ConstructiiMasini,692962168.0
tm,ConstructiiMasini,9619263605.0
tr,ChimicaFarmaceutica,393884134.0
vl,Alimentara,1283299776.0
vn,Textila,641026755.0
vs,Alimentara,621478224.0
