Siruta,Localitate,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
32768,Budesti,0,0,0,0,0,0,0,0,0
49153,Sahateni,0,0,0,0,0,0,0,0,0
57350,Cojocna,1085554,0,0,0,0,0,0,599858,0
90119,Lunca Cernii De Jos,0,0,3660,0,0,0,0,0,0
73736,Poiana Mare,3022374,0,0,0,0,0,0,0,0
147465,Bunesti,87595,0,0,0,0,0,0,0,0
155662,Bara,0,0,0,0,0,0,0,0,0
139287,Valea Vinului,0,0,1.65E+07,0,0,0,0,0,0
114710,Oras Ludus,2.06E+08,3801152,397298,1.50E+08,2751670,0,0,4467073,92
122908,Grumazesti,9530486,0,192715,0,1749463,0,0,0,0
131103,Oras Breaza,2803609,9.45E+07,527290,0,0,1.20E+07,0,96280,0
40991,Fundata,0,0,3550,0,0,0,0,0,0
98337,Plugari,23939,16334,0,0,0,0,0,0,0
8229,Vadu Motilor,0,0,1443175,0,0,0,0,0,0
16427,Dobresti,208569,0,877000,0,0,0,0,0,0
32811,Caianu Mic,0,358640,0,0,0,0,0,0,0
73772,Predesti,0,0,0,0,0,0,0,0,0
172082,Pausesti-Maglasi,4145616,1981,9593899,0,0,0,0,101733,0
49206,Sapoca,63187,20945,0,0,0,0,0,0,0
24631,Poduri,1933,0,281144,0,0,0,0,0,0
163903,Gagesti,4483,0,243278,0,0,0,0,0,0
106559,Municipiul Sighetu Marmatiei,1.36E+07,1.38E+07,9.25E+07,0,0,8817684,0,3.28E+08,6909535
139330,Vama,262055,3190225,0,0,458342,0,0,67246,0
81987,Schela,0,0,0,0,0,0,0,0,0
98373,Oras Podu Iloaiei,8508054,0,79359,0,0,0,0,0,0
147526,Cacica,1.94E+07,0,1.07E+07,0,0,0,0,0,0
16454,Domnesti,157472,0,1452792,0,0,0,0,0,0
65609,Oras Fieni,2179011,504154,206681,0,0,2159946,0,57907,0
122953,Hangu,0,0,2.85E+07,0,0,0,0,0,0
41033,Halchiu,1861022,206444,6448558,26222,0,50177,0,1656591,0
155724,Beba Veche,0,0,0,0,0,0,0,0,395514
49233,Sarulesti,0,0,0,0,0,0,0,0,0
16472,Dragoslavele,1.39E+07,0,488980,0,0,0,0,0,0
139358,Vetis,6.63E+08,1.63E+07,354268,0,0,0,0,9331395,0
90208,Luncoiu De Jos,1002114,0,0,0,0,0,0,3738120,0
57449,Cornesti,10500,0,285664,0,0,0,0,323,0
65645,Motaieni,0,0,0,0,0,0,0,0,0
155760,Becicherecu Mic,4763477,0,0,0,0,0,262447,2604724,0
32884,Cetate,5.40E+07,0,1.20E+07,0,0,0,0,0,0
114809,Municipiul Reghin,3.78E+07,1.06E+08,5.95E+08,24042,939649,7.73E+07,174687,1.40E+08,0
16506,Draganu,64688,0,75284,0,0,0,0,0,0
172153,Perisani,0,0,0,0,0,0,0,0,0
73852,Radovan,1012456,0,0,0,0,0,0,0,0
106620,Sarasau,1749366,0,4665281,0,0,0,0,0,0
163967,Gherghesti,0,0,0,0,0,0,0,0,0
82047,Slivilesti,0,0,0,0,0,0,0,0,0
147580,Calafindesti,466091,0,0,0,0,0,0,0,0
41088,Harman,9332104,1.00E+08,6671797,0,0,1.25E+07,0,3266417,0
139394,Viile Satu Mare,409179,132053,22460,0,0,0,0,0,0
98435,Popesti,12469,0,0,2711355,0,0,0,0,0
123013,Icusesti,0,0,0,0,0,0,0,0,0
24711,Racova,0,968522,0,0,0,0,0,0,0
131210,Oras Busteni,1057018,5829,44553,520,0,0,0,200833,3437819
65681,Oras Gaesti,3.05E+07,1.68E+07,1866469,1697490,0,0,0,7804226,0
90262,Martinesti,0,0,0,0,0,0,0,0,0
155797,Belint,697577,897367,1834149,0,0,0,0,0,0
41113,Harseni,144411,0,4903892,0,0,0,0,0,0
106648,Vadu Izei,192724,0,405813,0,0,0,0,1.09E+07,0
49313,Scortoasa,0,0,0,0,0,0,0,25800,0
8354,Valea Lunga,0,0,0,0,0,0,0,0,0
16551,Godeni,1030057,0,506705,0,0,1515044,0,0,0
114854,Oras Sovata,6642867,927581,3.84E+07,0,0,0,0,6.42E+07,0
65707,Gura Foii,0,0,1121349,0,0,312580,0,0,0
