Siruta,Localitate,Cifra de afaceri
32768,Budesti,0.0
49153,Sahateni,0.0
57350,Cojocna,1685412.0
90119,Lunca Cernii De Jos,3660.0
73736,Poiana Mare,3022374.0
147465,Bunesti,87595.0
155662,Bara,0.0
139287,Valea Vinului,16495008.0
114710,Oras Ludus,367775145.0
122908,Grumazesti,11472664.0
131103,Oras Breaza,109898131.0
40991,Fundata,3550.0
98337,Plugari,40273.0
8229,Vadu Motilor,1443175.0
16427,Dobresti,1085569.0
32811,Caianu Mic,358640.0
73772,Predesti,0.0
172082,Pausesti-Maglasi,13843229.0
49206,Sapoca,84132.0
24631,Poduri,283077.0
163903,Gagesti,247761.0
106559,Municipiul Sighetu Marmatiei,463714879.0
139330,Vama,3977868.0
81987,Schela,0.0
98373,Oras Podu Iloaiei,8587413.0
147526,Cacica,30130086.0
16454,Domnesti,1610264.0
65609,Oras Fieni,5107699.0
122953,Hangu,28533481.0
41033,Halchiu,10249014.0
155724,Beba Veche,395514.0
49233,Sarulesti,0.0
16472,Dragoslavele,14431537.0
139358,Vetis,688546922.0
90208,Luncoiu De Jos,4740234.0
57449,Cornesti,296487.0
65645,Motaieni,0.0
155760,Becicherecu Mic,7630648.0
32884,Cetate,65947788.0
114809,Municipiul Reghin,957462883.0
16506,Draganu,139972.0
172153,Perisani,0.0
73852,Radovan,1012456.0
106620,Sarasau,6414647.0
163967,Gherghesti,0.0
82047,Slivilesti,0.0
147580,Calafindesti,466091.0
41088,Harman,132005956.0
139394,Viile Satu Mare,563692.0
98435,Popesti,2723824.0
123013,Icusesti,0.0
24711,Racova,968522.0
131210,Oras Busteni,4746572.0
65681,Oras Gaesti,58681126.0
90262,Martinesti,0.0
155797,Belint,3429093.0
41113,Harseni,5048303.0
106648,Vadu Izei,11456195.0
49313,Scortoasa,25800.0
8354,Valea Lunga,0.0
16551,Godeni,3051806.0
114854,Oras Sovata,110163133.0
65707,Gura Foii,1433929.0
73905,Rast,0.0
147633,Oras Cajvana,13561025.0
131256,Municipiul Campina,1651464607.0
32955,Ciceu-Giurgesti,0.0
106684,Oras Baia Sprie,126139344.0
24766,Racaciuni,2310602.0
73923,Robanesti,2215527.0
155840,Bethausen,13179.0
98505,Popricani,2502418.0
131274,Poiana Campina,4231271.0
57546,Dabaca,92680.0
147660,Ilisesti,610725.0
41177,Hoghiz,403451.0
