Siruta,Localitate,CF/Loc
13301,Oras Mioveni,586069.3455250441
40214,Oras Ghimbav,437357.6605888257
40900,Cristian,360546.91625124624
155289,Ghiroda,286871.0850268978
27631,Bors,255175.16510679145
51699,Buchin,253457.38053097346
83491,Oras Borsec,204692.56926406926
159437,Parta,194527.41770519983
13276,Bradu,190311.35092040445
137185,Botiz,152250.87913519147
139358,Vetis,127014.74303634017
29243,Draganesti,125748.2955010225
4366,Galda De Jos,122236.01134301271
1874,Municipiul Sebes,116244.4523838781
12876,Zimandu Nou,108632.05367346939
97919,Miroslava,102649.98629613104
145792,Sura Mica,101699.0688976378
9495,Oras Curtici,98252.28889398806
155528,Oras Sannicolau Mare,94995.49622371912
120824,Savinesti,84853.75789318384
19338,Titesti,78045.86917527782
13365,Maracineni,72051.7561904762
179551,Oras Voluntari,64922.979226802854
148202,Dorna Candrenilor,63873.326929338975
9459,Oras Chisineu-Cris,63436.796847220576
102035,Clinceni,63080.68398065824
16365,Darmanesti,61634.40653153153
58259,Jucu,60901.94049548507
158396,Remetea Mare,59540.98406529343
42101,Ucea,57059.310169491524
114319,Municipiul Targu Mures,56432.74177900802
119466,Sanpaul,56313.19215952866
101298,Branesti,55822.92381376699
105570,Tunari,54408.131636363636
146628,Municipiul Radauti,53302.49206970235
13187,Bascov,52679.912192340584
32027,Oras Valea Lui Mihai,52587.065050212615
74859,Carcea,52183.544429995665
41925,Sanpetru,51882.12654053116
55687,Apahida,51140.91473128196
137728,Foieni,50348.463917525776
133161,Filipestii De Padure,50210.016696708095
130847,Paulesti,49895.73350880079
155494,Oras Jimbolia,49714.656658346794
179481,Oras Otopeni,47465.79915012283
145827,Oras Talmaciu,46267.056670746635
100834,Afumati,44509.188858009096
125347,Municipiul Slatina,44240.848829099334
131256,Municipiul Campina,43952.32360142652
26840,Oras Stei,43454.94888350821
33603,Lunca Ilvei,42966.546598741385
33952,Monor,41694.14567206193
120771,Dumbrava Rosie,41362.66434490213
91982,Vetel,40690.84801684802
100353,Valea Lupului,39968.728776867174
41621,Poiana Marului,39670.21371326803
85680,Sancraieni,39104.50859106529
108035,Dumbravita,38425.223043177095
9262,Municipiul Arad,38229.4700231643
63447,Oras Baraolt,37009.30952380953
156801,Oras Faget,36582.71976790189
142239,Nusfalau,36515.740382165604
143450,Municipiul Sibiu,35610.61657640687
102605,Dragomiresti-Vale,35474.95377377787
155314,Giroc,35286.31611051309
106817,Oras Targu Lapus,34173.251834480674
132075,Aricestii Rahtivani,33795.309178149604
40465,Oras Victoria,33672.88827321045
75150,Vanatori,33462.52415630551
30871,Sacadat,33426.306666666664
139704,Municipiul Zalau,32888.59126501281
40955,Feldioara,32355.889263555437
155243,Municipiul Timisoara,32188.232490021306
179515,Oras Pantelimon,31814.944301723815
48771,Posta Calnau,30906.46867371847
41417,Mandra,30432.063470627952
17209,Micesti,30003.70242214533
44818,Municipiul Buzau,29526.33977827247
77812,Municipiul Targu Jiu,28660.604673485606
171995,Pausesti,28579.85982382229
13622,Municipiul Curtea De Arges,28541.086844702295
149101,Horodnic De Jos,28452.53376729048
124493,Tarcau,27595.370455196105
166636,Valeni,27565.93200237201
179132,Municipiul Bucuresti,27433.92836097958
100683,Municipiul Urziceni,27153.559339466316
1348,Municipiul Blaj,27089.43188530056
