Siruta,Localitate,Activitate
57350,Cojocna,Alimentara
90119,Lunca Cernii De Jos,Lemnului
73736,Poiana Mare,Alimentara
147465,Bunesti,Alimentara
139287,Valea Vinului,Lemnului
114710,Oras Ludus,Alimentara
122908,Grumazesti,Alimentara
131103,Oras Breaza,Textila
40991,Fundata,Lemnului
98337,Plugari,Alimentara
8229,Vadu Motilor,Lemnului
16427,Dobresti,Lemnului
32811,Caianu Mic,Textila
172082,Pausesti-Maglasi,Lemnului
49206,Sapoca,Alimentara
24631,Poduri,Lemnului
163903,Gagesti,Lemnului
106559,Municipiul Sighetu Marmatiei,Mobila
139330,Vama,Textila
98373,Oras Podu Iloaiei,Alimentara
147526,Cacica,Alimentara
16454,Domnesti,Lemnului
65609,Oras Fieni,Alimentara
122953,Hangu,Lemnului
41033,Halchiu,Lemnului
155724,Beba Veche,Energetica
16472,Dragoslavele,Alimentara
139358,Vetis,Alimentara
90208,Luncoiu De Jos,Mobila
57449,Cornesti,Lemnului
155760,Becicherecu Mic,Alimentara
32884,Cetate,Alimentara
114809,Municipiul Reghin,Lemnului
16506,Draganu,Lemnului
73852,Radovan,Alimentara
106620,Sarasau,Lemnului
147580,Calafindesti,Alimentara
41088,Harman,Textila
139394,Viile Satu Mare,Alimentara
98435,Popesti,ChimicaFarmaceutica
24711,Racova,Textila
131210,Oras Busteni,Energetica
65681,Oras Gaesti,Alimentara
155797,Belint,Lemnului
41113,Harseni,Lemnului
106648,Vadu Izei,Mobila
49313,Scortoasa,Mobila
16551,Godeni,ConstructiiMasini
114854,Oras Sovata,Mobila
65707,Gura Foii,Lemnului
147633,Oras Cajvana,Lemnului
131256,Municipiul Campina,ConstructiiMasini
106684,Oras Baia Sprie,Alimentara
24766,Racaciuni,Alimentara
73923,Robanesti,Alimentara
155840,Bethausen,Textila
98505,Popricani,Metalurgica
131274,Poiana Campina,ConstructiiMasini
57546,Dabaca,Lemnului
147660,Ilisesti,Alimentara
41177,Hoghiz,Alimentara
65752,Petresti,Mobila
82136,Stanesti,Alimentara
123102,Ion Creanga,Textila
16613,Harsesti,Textila
90342,Orastioara De Sus,Lemnului
8425,Vidra,Alimentara
114925,Municipiul Tarnaveni,ConstructiiMasini
57582,Feleacu,Alimentara
33015,Chiochis,Textila
106746,Oras Borsa,Lemnului
147713,Carlibaba,Lemnului
24837,Rachitoasa,Lemnului
155911,Biled,ConstructiiMasini
131336,Oras Comarnic,Alimentara
73996,Sadova,Textila
114970,Acatari,Mobila
49439,Scutelnici,Alimentara
106782,Oras Cavnic,Lemnului
123175,Margineni,Lemnului
164133,Grivita,Alimentara
98603,Prisacani,Lemnului
65841,Municipiul Moreni,Textila
172340,Pietrari,Alimentara
90431,Pestisu Mic,Textila
106817,Oras Targu Lapus,Mobila
82243,Stejari,Alimentara
41284,Jibert,Alimentara
147786,Cornu Luncii,Alimentara
49484,Siriu,Lemnului
65869,Iedera,Lemnului
131407,Oras Mizil,Alimentara
98649,Probota,CalculatoareElectronica
172377,Popesti,Lemnului
33122,Chiuza,Lemnului
57706,Floresti,Alimentara
131443,Oras Plopeni,Alimentara
16757,Leordeni,Textila
123255,Oniceni,Lemnului
98685,Raducaneni,Alimentara
65921,Oras Pucioasa,Textila
41346,Lisa,Lemnului
