Judet,CA/Loc
AG,42819.77016843766
B,27433.92836097958
TM,23958.8125478359
IF,21206.467196529204
BV,20879.80943714798
AR,19886.95435409099
MS,19179.11198084353
AB,18679.529810984168
SB,18100.698333523498
SJ,12106.96175242832
DJ,10815.397518691856
BH,10441.95106340046
PH,10341.609628932263
BZ,10103.165083566797
GL,10043.63429154376
OT,9692.653249928386
BN,9667.940086193814
CJ,9301.942264941767
SM,9009.944068000379
VL,8609.5355395712
GJ,8172.111058349639
HR,8160.259160727286
MM,7333.669629435363
CV,7023.636092321675
TL,6997.096197911552
CS,6760.119644711953
IL,6618.1527318500375
IS,5897.805227912309
SV,5527.474930657551
HD,5512.809930607393
CT,5032.700920516216
NT,4931.989327118876
DB,4735.548810399572
CL,4378.768955137409
BC,4259.336067536101
BT,3748.3367827626403
VN,3499.974840775717
BR,3499.8817498176104
TR,2981.561331382965
VS,2663.0268143586163
GR,1771.7056729137328
MH,1761.6717966585948
