CODE,COUNTRY,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BE,Belgium,20021.702377625734,19995.685704774576,20274.5240776035,21000.20926059016,22026.6860885705,23305.593730109107,24029.051769542824,24840.00473427087,25562.171939482054,26982.044132349416,28183.60171473691,29557.512936976927,31236.270114515177,31974.79091667229,31495.70052209699,33010.821735975675,34176.908648389304,35104.75483331058,35714.29220741561,36634.53883311131,37879.74842913656,39096.396045393005,40456.75350829652,41820.37441828374,43510.65820000622,41799.96651103327,45662.042510625295
BG,Bulgaria,1970.624218386138,1334.7418790234867,1366.6378349312995,1824.627914460722,1738.6486923201219,1960.7390519745213,2159.705183058889,2373.295385881321,2552.531919718327,2864.1454966141946,3264.2639013547296,3721.873782176013,4408.2275000441305,5057.552579444557,5080.771857691623,5198.52482901242,5632.222926796812,5737.85027503303,5709.79704178248,5842.296291568958,6220.634741743238,6622.667718549759,7132.975856024181,7634.498687635531,8358.736491064652,8369.65362539836,9651.208420858244
CZ,Czechia,4408.387438006393,5086.743141418245,5256.262599937144,5732.233609541841,5852.780992970864,6422.853890553975,7253.846094881838,8370.40174157002,8495.088419939137,9251.525406839035,10570.695708164376,11936.998397939551,13318.765953532582,15528.536222663406,14332.931540660908,15131.499267958025,15829.181262791571,15578.64852020206,15279.12453912017,15121.965475214056,16246.56016925117,17001.626972872287,18601.23450638908,20214.563036096184,21617.611550165955,20677.82870984309,22828.3553201438
DK,Denmark,25436.227706654718,26587.536515659744,27542.230841552428,28440.384791070363,30027.561635124664,32014.02791195527,33097.988212842145,34131.91819341269,34771.86389738713,36402.75882508235,38274.88549854441,40558.60237368873,41970.673096635845,43450.757720171176,41592.0647811722,43729.8449024103,44577.68079432755,45782.23898451758,46531.20115210009,47792.62342310976,49098.339252329046,50913.2601569463,53017.069295050846,54369.524449396726,55663.928606625006,56065.55590483665,60554.0956884726
DE,Germany (until 1990 former territory of the FRG),24652.351271093714,24532.082800863303,24340.877885412054,24941.70415382407,25672.997136177095,26291.423820546814,27082.376715593346,27401.25102694544,27568.91558862197,28204.046400326006,28525.538522678253,29731.85076308256,31158.807073499844,31743.950160867604,30487.89951146037,31967.21204188074,33577.29046464213,34222.39388968008,35045.633120395185,36492.659315146986,37723.65377355274,39076.93740296569,40727.65422506281,41952.91443080156,43296.848735213964,42451.29578216422,44898.5750943082
EE,Estonia,2308.384609739234,2912.4226025624685,3517.8511419863958,3914.7749438953074,4176.970230714857,4767.720778242581,5397.715640945417,6043.161021433731,6755.275386166379,7553.371882375208,8762.992919800225,10482.326538968136,12670.42886774743,12837.912480542003,10917.258614629323,11387.88138637496,12883.646013187017,13841.114600353045,14609.082586880193,15487.753533340287,15938.290631964805,16800.815787339074,18412.07303459757,20033.295865827702,21448.94955792206,21217.42354890668,24291.999335627734
IE,Ireland,11559.037073694482,13049.827667912308,15982.642635185823,17610.42018952158,20282.573037853603,23715.40024586394,26686.81725104527,29726.979108559597,31820.757142032766,34156.093001621026,37226.441390477754,40419.83104285831,43076.333234824546,40937.177041274015,37054.393462747066,36589.17988811967,37531.67290652799,38386.819524324965,39226.665221093936,42642.61769905624,57482.478259577074,59062.71366643293,65086.445832116544,71396.56752252733,77970.12735612325,81496.29018240447,93178.9805564639
EL,Greece,9676.343617393253,10623.628110425334,11681.81018882082,11931.757351830378,12938.36904830364,13218.585381340694,14070.800272847815,15112.470213897821,16540.326319034095,17909.641072730512,18420.583553356486,20141.996984917005,21513.354953816866,22372.781193100847,21960.791347418144,20720.97575822237,18796.488924201894,17416.384884793173,16630.88420553968,16386.03121256224,16305.865063109462,16132.543092887892,16355.28128601629,16600.67975273583,16951.400878268196,15292.300887753892,16796.39388233632
ES,Spain,10042.647894700754,10816.036684964578,11125.085467739493,11819.451976902725,12724.798044083731,13838.265666522342,14973.392592390066,16010.625447630944,17136.610182307682,18357.79759487747,19808.586439951716,21441.9200652086,22973.79245645337,23700.084009901762,22841.017081586153,22913.342921241947,22722.254037142502,22024.6493125948,21801.92588374337,22056.775143322004,23028.32519970241,23804.300717427046,24831.13112614921,25714.740992965853,26604.48125434281,23880.53548462478,25778.45864792546
FR,France,18861.12847933421,19483.122707266215,19749.612680069116,20687.77085444471,21575.93780704537,22770.792843128496,23688.887383072502,24453.193579883387,25112.900294763556,26242.56545937838,27195.634296063352,28462.255172222616,29897.710577299204,30683.43872336887,29821.66342745028,30728.238472034423,31699.695380189547,32168.40639794004,32605.546606214983,33107.22986937385,33856.72088632353,34406.46878185957,35378.433903045276,36395.845589480916,37540.54153948507,35582.1349259395,38514.38550884445
HR,Croatia,4089.8842420422093,4474.81836752364,4965.729567323681,5351.760570693897,5177.030256793117,5513.53839037604,6051.895393322908,6712.23922019917,7240.724322146968,7892.386477222631,8598.869188910145,9470.327002636473,10346.942476222837,11310.724735226513,10638.828683776872,10680.229989621668,10630.357052423062,10413.61864916454,10370.65370888254,10266.100242036608,10562.210596353838,11047.82410932932,11665.623076817159,12310.050505392323,12986.194041432578,11768.076139195204,13595.241323637556
IT,Italy,15114.297695935158,17393.48105009168,18445.78393042175,19089.070007099,19772.42927855933,20889.02391880276,21942.699756555805,22718.72524133765,23466.35271706928,24435.93323011924,25131.098925889644,26124.667495286852,27170.420224578145,27555.0434783311,26538.05387054196,27110.51486172569,27741.072478960774,27330.58008258743,27135.280254260946,27381.845572441136,27852.107045452158,28532.390623077692,29218.970287316915,29804.469326381324,30229.4349822552,27940.71664070162,29983.815254849163
CY,Cyprus,9038.477785168378,9388.42727392799,10012.172673478444,10890.675589327551,11708.255642801643,12856.389820646426,13806.286715841254,14377.438550607027,15315.555439209811,16584.82140201117,17895.257892901893,19352.290021382498,20931.524844509862,22619.516496173877,22221.971021183785,23156.756190750435,23629.14635408796,23197.56974894307,21466.14675984374,20802.77770175641,21351.79740292501,22624.51407472808,24169.71776770065,25791.194028607566,27577.35240187195,26052.73397294406,28580.080841782612
