Real,Prezis_LDA,Prezis_Bayes,Corect_LDA,Corect_Bayes
Adelie,Adelie,Chinstrap,True,False
Adelie,Adelie,Chinstrap,True,False
Adelie,Adelie,Chinstrap,True,False
Adelie,Adelie,Gentoo,True,False
Adelie,Adelie,Chinstrap,True,False
Adelie,Adelie,Chinstrap,True,False
Adelie,Adelie,Chinstrap,True,False
Adelie,Adelie,Chinstrap,True,False
Adelie,Adelie,Chinstrap,True,False
Adelie,Adelie,Chinstrap,True,False
Adelie,Adelie,Chinstrap,True,False
Adelie,Adelie,Chinstrap,True,False
Adelie,Adelie,Chinstrap,True,False
Adelie,Adelie,Chinstrap,True,False
Adelie,Adelie,Chinstrap,True,False
Adelie,Adelie,Chinstrap,True,False
Adelie,Adelie,Chinstrap,True,False
