,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.0,-1.0,1.0,-150.0,-457.0,-0.0,-795.0,-75.0,4.0,-370.0,-103.0,-699.0,-496.0,-13159.0,-184.0,-527.0,-7.0,-61741.0,-13.0,797.0,177.0,-214.0,-1.0,13.0,62.0,-478.0,-1625.0,78.0,-36.0,-40.0,-620.0
RM,-1.0,2.0,-1.0,180.0,549.0,0.0,954.0,91.0,-5.0,444.0,124.0,839.0,595.0,15791.0,221.0,632.0,9.0,74089.0,15.0,-957.0,-213.0,257.0,1.0,-15.0,-75.0,573.0,1950.0,-93.0,44.0,48.0,744.0
RMI,1.0,-1.0,0.0,-70.0,-213.0,-0.0,-371.0,-35.0,2.0,-173.0,-48.0,-326.0,-231.0,-6141.0,-86.0,-246.0,-3.0,-28813.0,-6.0,372.0,83.0,-100.0,-0.0,6.0,29.0,-223.0,-758.0,36.0,-17.0,-19.0,-289.0
Emigranti,-150.0,180.0,-70.0,20074.0,61108.0,50.0,106197.0,10084.0,-599.0,49392.0,13784.0,93357.0,66196.0,1757790.0,24591.0,70371.0,955.0,8247461.0,1695.0,-106501.0,-23696.0,28644.0,112.0,-1682.0,-8324.0,63820.0,217025.0,-10398.0,4865.0,5327.0,82825.0
Imigranti,-457.0,549.0,-213.0,61108.0,186016.0,152.0,323270.0,30695.0,-1824.0,150351.0,41958.0,284184.0,201505.0,5350814.0,74856.0,214212.0,2909.0,25105751.0,5158.0,-324194.0,-72132.0,87195.0,342.0,-5119.0,-25339.0,194271.0,660638.0,-31651.0,14808.0,16215.0,252123.0
RS,-0.0,0.0,-0.0,50.0,152.0,0.0,265.0,25.0,-1.0,123.0,34.0,233.0,165.0,4386.0,61.0,176.0,2.0,20580.0,4.0,-266.0,-59.0,71.0,0.0,-4.0,-21.0,159.0,542.0,-26.0,12.0,13.0,207.0
Sal,-795.0,954.0,-371.0,106197.0,323270.0,265.0,561800.0,53344.0,-3170.0,261290.0,72918.0,493873.0,350189.0,9298989.0,130090.0,372272.0,5055.0,43630392.0,8964.0,-563405.0,-125356.0,151533.0,595.0,-8897.0,-44036.0,337617.0,1148099.0,-55006.0,25735.0,28179.0,438156.0
CSom,-75.0,91.0,-35.0,10084.0,30695.0,25.0,53344.0,5065.0,-301.0,24810.0,6924.0,46895.0,33251.0,882965.0,12352.0,35348.0,480.0,4142829.0,851.0,-53497.0,-11903.0,14388.0,56.0,-845.0,-4181.0,32058.0,109015.0,-5223.0,2444.0,2676.0,41604.0
AjSoc,4.0,-5.0,2.0,-599.0,-1824.0,-1.0,-3170.0,-301.0,18.0,-1475.0,-412.0,-2787.0,-1976.0,-52478.0,-734.0,-2101.0,-29.0,-246224.0,-51.0,3180.0,707.0,-855.0,-3.0,50.0,249.0,-1905.0,-6479.0,310.0,-145.0,-159.0,-2473.0
Pensie,-370.0,444.0,-173.0,49392.0,150351.0,123.0,261290.0,24810.0,-1475.0,121524.0,33914.0,229698.0,162871.0,4324907.0,60504.0,173142.0,2351.0,20292249.0,4169.0,-262037.0,-58302.0,70477.0,277.0,-4138.0,-20481.0,157024.0,533974.0,-25583.0,11969.0,13106.0,203784.0
PopScolara,-103.0,124.0,-48.0,13784.0,41958.0,34.0,72918.0,6924.0,-412.0,33914.0,9464.0,64101.0,45452.0,1206947.0,16885.0,48318.0,656.0,5662937.0,1164.0,-73126.0,-16270.0,19668.0,77.0,-1155.0,-5716.0,43821.0,149016.0,-7139.0,3340.0,3657.0,56870.0
PaturiUS,-699.0,839.0,-326.0,93357.0,284184.0,233.0,493873.0,46895.0,-2787.0,229698.0,64101.0,434159.0,307848.0,8174654.0,114361.0,327261.0,4443.0,38355066.0,7881.0,-495284.0,-110199.0,133211.0,523.0,-7821.0,-38712.0,296796.0,1009283.0,-48355.0,22623.0,24772.0,385179.0
Medici,-496.0,595.0,-231.0,66196.0,201505.0,165.0,350189.0,33251.0,-1976.0,162871.0,45452.0,307848.0,218285.0,5796376.0,81090.0,232050.0,3151.0,27196305.0,5588.0,-351190.0,-78138.0,94456.0,371.0,-5546.0,-27449.0,210448.0,715649.0,-34287.0,16041.0,17565.0,273118.0
VolumeB,-13159.0,15791.0,-6141.0,1757790.0,5350814.0,4386.0,9298989.0,882965.0,-52478.0,4324907.0,1206947.0,8174654.0,5796376.0,153918127.0,2153269.0,6161896.0,83665.0,722176140.0,148380.0,-9325562.0,-2074903.0,2508192.0,9848.0,-147257.0,-728892.0,5588289.0,19003485.0,-910459.0,425964.0,466423.0,7252418.0
SpectatoriS,-184.0,221.0,-86.0,24591.0,74856.0,61.0,130090.0,12352.0,-734.0,60504.0,16885.0,114361.0,81090.0,2153269.0,30124.0,86203.0,1170.0,10103029.0,2076.0,-130462.0,-29027.0,35089.0,138.0,-2060.0,-10197.0,78178.0,265853.0,-12737.0,5959.0,6525.0,101459.0
VizitatoriM,-527.0,632.0,-246.0,70371.0,214212.0,176.0,372272.0,35348.0,-2101.0,173142.0,48318.0,327261.0,232050.0,6161896.0,86203.0,246683.0,3349.0,28911309.0,5940.0,-373336.0,-83066.0,100412.0,394.0,-5895.0,-29180.0,223719.0,760778.0,-36449.0,17053.0,18673.0,290340.0
