,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,0.0,-0.0,0.0,-14.0,-0.0,0.0,-35.0,-14.0,-1.0,3.0,1.0,35.0,26.0,-262.0,56.0,155.0,0.0,-2055.0,1.0,-166.0,-287.0,-1.0,0.0,-1.0,-85.0,390.0,-121.0,-37.0,-2.0,1.0,-1466.0
RM,-0.0,1.0,0.0,-60.0,-25.0,0.0,-154.0,-5.0,7.0,-95.0,-15.0,2.0,-3.0,-409.0,-185.0,-1137.0,1.0,-7207.0,-190.0,1057.0,394.0,-3.0,0.0,-2.0,49.0,-740.0,-119.0,19.0,-9.0,-15.0,-1438.0
RMI,0.0,0.0,0.0,-4.0,-1.0,-0.0,35.0,-13.0,2.0,-10.0,2.0,3.0,74.0,-107.0,-10.0,39.0,1.0,-1433.0,-16.0,-131.0,-147.0,-3.0,-0.0,-1.0,-67.0,-69.0,-77.0,-18.0,-3.0,-2.0,-767.0
Emigranti,-14.0,-60.0,-4.0,6099.0,2379.0,-65.0,20427.0,207.0,-354.0,8752.0,1185.0,-2308.0,3858.0,33717.0,10424.0,90306.0,-35.0,745321.0,13230.0,-70673.0,-12294.0,552.0,-104.0,154.0,-1053.0,32471.0,13160.0,-1566.0,892.0,969.0,215222.0
Imigranti,-0.0,-25.0,-1.0,2379.0,1398.0,-29.0,8090.0,-303.0,-176.0,5774.0,538.0,-1223.0,1302.0,-5214.0,6396.0,47718.0,-5.0,361456.0,4602.0,-40094.0,-5748.0,528.0,-37.0,65.0,-1237.0,26308.0,3103.0,-2222.0,523.0,463.0,83380.0
RS,0.0,0.0,-0.0,-65.0,-29.0,1.0,-272.0,12.0,2.0,-103.0,-15.0,32.0,-118.0,-153.0,-107.0,-1090.0,-1.0,-7600.0,-120.0,971.0,233.0,-6.0,1.0,-1.0,73.0,-292.0,-69.0,42.0,-8.0,-8.0,-1845.0
Sal,-35.0,-154.0,35.0,20427.0,8090.0,-272.0,78107.0,-1958.0,-859.0,29173.0,4134.0,-5071.0,25441.0,87265.0,32850.0,311548.0,17.0,2363301.0,40461.0,-218900.0,-51797.0,2067.0,-421.0,458.0,-12050.0,107841.0,31406.0,-10181.0,2721.0,2815.0,655753.0
CSom,-14.0,-5.0,-13.0,207.0,-303.0,12.0,-1958.0,1198.0,-45.0,-1471.0,-80.0,-1716.0,-3235.0,22079.0,-2036.0,-12395.0,-28.0,26474.0,1256.0,-1063.0,7471.0,-311.0,16.0,17.0,3851.0,-18326.0,6676.0,3108.0,-20.0,30.0,39393.0
AjSoc,-1.0,7.0,2.0,-354.0,-176.0,2.0,-859.0,-45.0,40.0,-716.0,-81.0,148.0,142.0,-1309.0,-1077.0,-6776.0,6.0,-50636.0,-987.0,6551.0,1442.0,-42.0,2.0,-11.0,81.0,-4229.0,-820.0,129.0,-72.0,-89.0,-11519.0
Pensie,3.0,-95.0,-10.0,8752.0,5774.0,-103.0,29173.0,-1471.0,-716.0,24580.0,2009.0,-4630.0,3103.0,-43537.0,26741.0,190439.0,-32.0,1442515.0,16136.0,-156671.0,-18761.0,2478.0,-134.0,256.0,-4302.0,117812.0,9637.0,-10230.0,2208.0,1839.0,319133.0
PopScolara,1.0,-15.0,2.0,1185.0,538.0,-15.0,4134.0,-80.0,-81.0,2009.0,286.0,-502.0,1217.0,4030.0,2707.0,21352.0,0.0,145956.0,2774.0,-20282.0,-5426.0,92.0,-15.0,27.0,-1124.0,9159.0,1741.0,-629.0,178.0,216.0,32577.0
PaturiUS,35.0,2.0,3.0,-2308.0,-1223.0,32.0,-5071.0,-1716.0,148.0,-4630.0,-502.0,9185.0,2341.0,-11998.0,-380.0,-24984.0,-58.0,-457343.0,-3250.0,80218.0,-13604.0,115.0,-22.0,-72.0,-5038.0,31977.0,-14209.0,-3600.0,-536.0,-316.0,-155980.0
Medici,26.0,-3.0,74.0,3858.0,1302.0,-118.0,25441.0,-3235.0,142.0,3103.0,1217.0,2341.0,21206.0,7532.0,5035.0,72957.0,168.0,179642.0,6556.0,-45932.0,-42169.0,-86.0,-125.0,-1.0,-16256.0,17280.0,-9259.0,-6365.0,-54.0,160.0,-12247.0
VolumeB,-262.0,-409.0,-107.0,33717.0,-5214.0,-153.0,87265.0,22079.0,-1309.0,-43537.0,4030.0,-11998.0,7532.0,965389.0,-25600.0,17694.0,-646.0,1602314.0,107353.0,-60571.0,-45427.0,-11009.0,-447.0,728.0,35219.0,-369300.0,177769.0,66818.0,-1566.0,3208.0,1246463.0
SpectatoriS,56.0,-185.0,-10.0,10424.0,6396.0,-107.0,32850.0,-2036.0,-1077.0,26741.0,2707.0,-380.0,5035.0,-25600.0,38382.0,244136.0,-109.0,1520658.0,26186.0,-199549.0,-61680.0,2267.0,-123.0,288.0,-12796.0,178263.0,6822.0,-12837.0,2314.0,2604.0,259391.0
VizitatoriM,155.0,-1137.0,39.0,90306.0,47718.0,-1090.0,311548.0,-12395.0,-6776.0,190439.0,21352.0,-24984.0,72957.0,17694.0,244136.0,1785712.0,-305.0,12272889.0,199981.0,-1480743.0,-370882.0,14868.0,-1348.0,2289.0,-80052.0,1006182.0,102901.0,-78382.0,16879.0,17844.0,2640879.0
SportiviL,0.0,1.0,1.0,-35.0,-5.0,-1.0,17.0,-28.0,6.0,-32.0,0.0,-58.0,168.0,-646.0,-109.0,-305.0,4.0,-4580.0,-140.0,-440.0,-87.0,-8.0,1.0,-2.0,-124.0,-702.0,-200.0,-25.0,-8.0,-12.0,-1994.0
PIB,-2055.0,-7207.0,-1433.0,745321.0,361456.0,-7600.0,2363301.0,26474.0,-50636.0,1442515.0,145956.0,-457343.0,179642.0,1602314.0,1520658.0,12272889.0,-4580.0,106785013.0,1488397.0,-10353731.0,-723913.0,119872.0,-11619.0,20988.0,57969.0,5249962.0,1645535.0,-313049.0,143803.0,130965.0,29613685.0
SalariatiC,1.0,-190.0,-16.0,13230.0,4602.0,-120.0,40461.0,1256.0,-987.0,16136.0,2774.0,-3250.0,6556.0,107353.0,26186.0,199981.0,-140.0,1488397.0,34790.0,-174307.0,-51699.0,370.0,-170.0,331.0,-5330.0,83299.0,30178.0,-1265.0,1685.0,2452.0,398839.0
PAgrVeg,-166.0,1057.0,-131.0,-70673.0,-40094.0,971.0,-218900.0,-1063.0,6551.0,-156671.0,-20282.0,80218.0,-45932.0,-60571.0,-199549.0,-1480743.0,-440.0,-10353731.0,-174307.0,1920156.0,374614.0,-4558.0,170.0,-1738.0,72548.0,-572593.0,-124726.0,31974.0,-13550.0,-15748.0,-1975598.0
PAgrAnim,-287.0,394.0,-147.0,-12294.0,-5748.0,233.0,-51797.0,7471.0,1442.0,-18761.0,-5426.0,-13604.0,-42169.0,-45427.0,-61680.0,-370882.0,-87.0,-723913.0,-51699.0,374614.0,264707.0,1420.0,16.0,-100.0,67010.0,-278576.0,29735.0,21351.0,-578.0,-3701.0,337992.0
ServAgr,-1.0,-3.0,-3.0,552.0,528.0,-6.0,2067.0,-311.0,-42.0,2478.0,92.0,115.0,-86.0,-11009.0,2267.0,14868.0,-8.0,119872.0,370.0,-4558.0,1420.0,395.0,-19.0,21.0,51.0,14090.0,-284.0,-1522.0,222.0,119.0,27576.0
Silvicultura,0.0,0.0,-0.0,-104.0,-37.0,1.0,-421.0,16.0,2.0,-134.0,-15.0,-22.0,-125.0,-447.0,-123.0,-1348.0,1.0,-11619.0,-170.0,170.0,16.0,-19.0,3.0,-2.0,9.0,-570.0,-155.0,67.0,-14.0,-11.0,-3944.0
SupLoc,-1.0,-2.0,-1.0,154.0,65.0,-1.0,458.0,17.0,-11.0,256.0,27.0,-72.0,-1.0,728.0,288.0,2289.0,-2.0,20988.0,331.0,-1738.0,-100.0,21.0,-2.0,4.0,54.0,984.0,400.0,-32.0,28.0,27.0,6299.0
DrumuriM,-85.0,49.0,-67.0,-1053.0,-1237.0,73.0,-12050.0,3851.0,81.0,-4302.0,-1124.0,-5038.0,-16256.0,35219.0,-12796.0,-80052.0,-124.0,57969.0,-5330.0,72548.0,67010.0,51.0,9.0,54.0,21772.0,-70083.0,20957.0,9297.0,105.0,-419.0,187147.0
Innoptari,390.0,-740.0,-69.0,32471.0,26308.0,-292.0,107841.0,-18326.0,-4229.0,117812.0,9159.0,31977.0,17280.0,-369300.0,178263.0,1006182.0,-702.0,5249962.0,83299.0,-572593.0,-278576.0,14090.0,-570.0,984.0,-70083.0,1008560.0,-45636.0,-83589.0,9573.0,10193.0,523742.0
BugetVenituri,-121.0,-119.0,-77.0,13160.0,3103.0,-69.0,31406.0,6676.0,-820.0,9637.0,1741.0,-14209.0,-9259.0,177769.0,6822.0,102901.0,-200.0,1645535.0,30178.0,-124726.0,29735.0,-284.0,-155.0,400.0,20957.0,-45636.0,62284.0,13334.0,1703.0,1868.0,674192.0
BugetSubventii,-37.0,19.0,-18.0,-1566.0,-2222.0,42.0,-10181.0,3108.0,129.0,-10230.0,-629.0,-3600.0,-6365.0,66818.0,-12837.0,-78382.0,-25.0,-313049.0,-1265.0,31974.0,21351.0,-1522.0,67.0,-32.0,9297.0,-83589.0,13334.0,10238.0,-680.0,-471.0,11900.0
Apa,-2.0,-9.0,-3.0,892.0,523.0,-8.0,2721.0,-20.0,-72.0,2208.0,178.0,-536.0,-54.0,-1566.0,2314.0,16879.0,-8.0,143803.0,1685.0,-13550.0,-578.0,222.0,-14.0,28.0,105.0,9573.0,1703.0,-680.0,214.0,178.0,37058.0
Canal,1.0,-15.0,-2.0,969.0,463.0,-8.0,2815.0,30.0,-89.0,1839.0,216.0,-316.0,160.0,3208.0,2604.0,17844.0,-12.0,130965.0,2452.0,-15748.0,-3701.0,119.0,-11.0,27.0,-419.0,10193.0,1868.0,-471.0,178.0,211.0,30646.0
Export,-1466.0,-1438.0,-767.0,215222.0,83380.0,-1845.0,655753.0,39393.0,-11519.0,319133.0,32577.0,-155980.0,-12247.0,1246463.0,259391.0,2640879.0,-1994.0,29613685.0,398839.0,-1975598.0,337992.0,27576.0,-3944.0,6299.0,187147.0,523742.0,674192.0,11900.0,37058.0,30646.0,10204820.0
