,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,2.0,-2.0,-0.0,10.0,103.0,-0.0,106.0,15.0,-4.0,-19.0,29.0,64.0,58.0,864.0,11.0,128.0,1.0,1786.0,86.0,290.0,25.0,1.0,0.0,-2.0,36.0,265.0,26.0,-83.0,-5.0,-2.0,-11.0
RM,-2.0,3.0,2.0,-125.0,-434.0,-0.0,-334.0,-3.0,-3.0,-54.0,-43.0,-191.0,-191.0,-1397.0,-42.0,-196.0,-1.0,-5075.0,-160.0,661.0,613.0,3.0,0.0,3.0,-7.0,-112.0,1.0,155.0,-4.0,-3.0,-73.0
RMI,-0.0,2.0,4.0,-191.0,-1002.0,-1.0,-340.0,-5.0,-11.0,-16.0,-15.0,-185.0,-166.0,-561.0,-33.0,250.0,-2.0,-1216.0,-81.0,842.0,577.0,14.0,2.0,5.0,-23.0,655.0,-20.0,-12.0,-3.0,-3.0,-13.0
Emigranti,10.0,-125.0,-191.0,11320.0,50920.0,58.0,16676.0,-178.0,719.0,1608.0,955.0,10496.0,9737.0,34691.0,2123.0,1161.0,78.0,97497.0,5603.0,-60148.0,-43598.0,-312.0,-90.0,-198.0,694.0,-23087.0,3550.0,-1070.0,264.0,180.0,-4011.0
Imigranti,103.0,-434.0,-1002.0,50920.0,405579.0,97.0,52810.0,8863.0,1900.0,-37938.0,2067.0,49080.0,32219.0,135200.0,7307.0,-52678.0,1101.0,-1014369.0,17340.0,23279.0,-32066.0,693.0,-715.0,-1460.0,23702.0,-204980.0,41514.0,41255.0,-2680.0,-1478.0,-97571.0
RS,-0.0,-0.0,-1.0,58.0,97.0,3.0,-211.0,-12.0,28.0,-19.0,-24.0,-177.0,-157.0,-1608.0,-61.0,-70.0,-1.0,-5697.0,-73.0,-456.0,-176.0,-21.0,0.0,-1.0,109.0,16.0,304.0,91.0,-6.0,-1.0,-257.0
Sal,106.0,-334.0,-340.0,16676.0,52810.0,-211.0,75634.0,-621.0,-1802.0,17850.0,6941.0,47034.0,46312.0,319419.0,13175.0,21054.0,119.0,1416114.0,26463.0,-133862.0,-108657.0,1059.0,-177.0,-297.0,-16366.0,-21302.0,-39614.0,-29691.0,2204.0,1084.0,51325.0
CSom,15.0,-3.0,-5.0,-178.0,8863.0,-12.0,-621.0,623.0,-114.0,-2500.0,77.0,368.0,-356.0,4684.0,-79.0,-2354.0,42.0,-63268.0,105.0,18710.0,9720.0,113.0,-13.0,-40.0,1302.0,-3047.0,1346.0,1796.0,-239.0,-134.0,-3949.0
AjSoc,-4.0,-3.0,-11.0,719.0,1900.0,28.0,-1802.0,-114.0,292.0,-171.0,-261.0,-1720.0,-1526.0,-16784.0,-620.0,-1777.0,-4.0,-59086.0,-790.0,-5135.0,-1839.0,-259.0,1.0,-19.0,1130.0,-1202.0,2980.0,1052.0,-62.0,-0.0,-2304.0
Pensie,-19.0,-54.0,-16.0,1608.0,-37938.0,-19.0,17850.0,-2500.0,-171.0,14267.0,1426.0,7292.0,10384.0,56005.0,2894.0,13485.0,-159.0,599654.0,5240.0,-89929.0,-53343.0,-275.0,38.0,109.0,-8960.0,15976.0,-16052.0,-15413.0,1389.0,766.0,31201.0
PopScolara,29.0,-43.0,-15.0,955.0,2067.0,-24.0,6941.0,77.0,-261.0,1426.0,928.0,4518.0,4458.0,38360.0,1274.0,5216.0,6.0,151713.0,3222.0,-6566.0,-8223.0,202.0,-4.0,-20.0,-1311.0,4108.0,-3504.0,-3863.0,155.0,68.0,4451.0
PaturiUS,64.0,-191.0,-185.0,10496.0,49080.0,-177.0,47034.0,368.0,-1720.0,7292.0,4518.0,33856.0,31662.0,230133.0,9664.0,22331.0,125.0,860063.0,17853.0,-59692.0,-59789.0,1843.0,-131.0,-116.0,-11174.0,-16047.0,-26058.0,-16139.0,1251.0,442.0,23345.0
Medici,58.0,-191.0,-166.0,9737.0,32219.0,-157.0,46312.0,-356.0,-1526.0,10384.0,4458.0,31662.0,30656.0,218734.0,9227.0,24205.0,63.0,924488.0,17410.0,-77514.0,-67868.0,1510.0,-101.0,-77.0,-12018.0,-7709.0,-26754.0,-18848.0,1464.0,597.0,28883.0
VolumeB,864.0,-1397.0,-561.0,34691.0,135200.0,-1608.0,319419.0,4684.0,-16784.0,56005.0,38360.0,230133.0,218734.0,1839906.0,68398.0,224423.0,534.0,7009692.0,137255.0,-210213.0,-314522.0,15538.0,-462.0,-251.0,-85377.0,78224.0,-213073.0,-152831.0,8378.0,2735.0,209722.0
