,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.0,-1.0,1.0,-13.0,-1.0,-1.0,42.0,-23.0,-11.0,-18.0,3.0,-76.0,-13.0,110.0,3.0,40.0,0.0,-870.0,-5.0,-165.0,-87.0,37.0,0.0,-0.0,-13.0,18.0,28.0,15.0,4.0,-1.0,-321.0
RM,-1.0,5.0,-2.0,9.0,4.0,2.0,-259.0,-12.0,27.0,-294.0,-32.0,-81.0,-54.0,-1849.0,-22.0,-657.0,-1.0,-16126.0,-167.0,2832.0,585.0,76.0,-1.0,-2.0,244.0,-544.0,413.0,261.0,-41.0,-15.0,-5708.0
RMI,1.0,-2.0,1.0,-18.0,-5.0,-1.0,101.0,-4.0,-15.0,36.0,10.0,-60.0,14.0,682.0,7.0,63.0,1.0,3529.0,53.0,-842.0,-59.0,58.0,0.0,0.0,-65.0,117.0,-25.0,-24.0,11.0,4.0,1580.0
Emigranti,-13.0,9.0,-18.0,493.0,111.0,17.0,-1989.0,-44.0,210.0,973.0,-75.0,1811.0,-182.0,-2464.0,-5.0,2742.0,-13.0,40290.0,-879.0,3585.0,883.0,-1101.0,-3.0,1.0,-208.0,2138.0,-1812.0,-951.0,45.0,-18.0,-20255.0
Imigranti,-1.0,4.0,-5.0,111.0,72.0,3.0,-1132.0,-210.0,67.0,-408.0,-69.0,-62.0,-327.0,-4889.0,-44.0,387.0,-3.0,-39669.0,-614.0,8226.0,106.0,-289.0,-2.0,-6.0,427.0,-1132.0,-91.0,140.0,-55.0,-65.0,-21567.0
RS,-1.0,2.0,-1.0,17.0,3.0,2.0,-235.0,32.0,25.0,-76.0,-10.0,35.0,2.0,-190.0,-14.0,-317.0,-1.0,-2540.0,-18.0,1306.0,612.0,51.0,-0.0,-0.0,74.0,-277.0,43.0,50.0,-17.0,-4.0,-1123.0
Sal,42.0,-259.0,101.0,-1989.0,-1132.0,-235.0,42223.0,2367.0,-2849.0,22434.0,2433.0,9050.0,6643.0,96205.0,2126.0,42225.0,134.0,1142681.0,14777.0,-283658.0,-81563.0,-11530.0,69.0,206.0,-16302.0,50303.0,-17998.0,-15689.0,2756.0,1623.0,577257.0
CSom,-23.0,-12.0,-4.0,-44.0,-210.0,32.0,2367.0,3101.0,382.0,3252.0,416.0,4460.0,2659.0,23098.0,-131.0,-2889.0,5.0,178590.0,6120.0,-19471.0,1239.0,-2390.0,15.0,52.0,-1110.0,-4894.0,-6013.0,-3335.0,-104.0,328.0,177870.0
AjSoc,-11.0,27.0,-15.0,210.0,67.0,25.0,-2849.0,382.0,338.0,-1295.0,-160.0,446.0,-93.0,-8025.0,-208.0,-3870.0,-10.0,-78865.0,-293.0,21326.0,5475.0,-74.0,-3.0,-6.0,1423.0,-5184.0,559.0,752.0,-288.0,-84.0,-18700.0
Pensie,-18.0,-294.0,36.0,973.0,-408.0,-76.0,22434.0,3252.0,-1295.0,29296.0,2360.0,18447.0,6284.0,132523.0,1883.0,56171.0,35.0,1576229.0,13077.0,-253161.0,-51682.0,-13176.0,58.0,199.0,-20046.0,56821.0,-36093.0,-24069.0,3235.0,1573.0,516657.0
PopScolara,3.0,-32.0,10.0,-75.0,-69.0,-10.0,2433.0,416.0,-160.0,2360.0,254.0,1113.0,689.0,14110.0,153.0,3996.0,7.0,130974.0,1720.0,-23066.0,-4358.0,-818.0,7.0,18.0,-1757.0,3739.0,-3050.0,-2002.0,266.0,149.0,58417.0
PaturiUS,-76.0,-81.0,-60.0,1811.0,-62.0,35.0,9050.0,4460.0,446.0,18447.0,1113.0,18901.0,4844.0,52889.0,659.0,29823.0,-8.0,879615.0,8888.0,-116743.0,-28752.0,-14177.0,32.0,150.0,-9059.0,24728.0,-25558.0,-16015.0,1233.0,930.0,342386.0
Medici,-13.0,-54.0,14.0,-182.0,-327.0,2.0,6643.0,2659.0,-93.0,6284.0,689.0,4844.0,3019.0,40227.0,243.0,4306.0,16.0,375298.0,6589.0,-59629.0,-6108.0,-2387.0,20.0,66.0,-3984.0,6091.0,-7760.0,-5177.0,445.0,520.0,214928.0
VolumeB,110.0,-1849.0,682.0,-2464.0,-4889.0,-190.0,96205.0,23098.0,-8025.0,132523.0,14110.0,52889.0,40227.0,1040401.0,8801.0,181678.0,179.0,9045121.0,89758.0,-1337593.0,-50544.0,4894.0,324.0,872.0,-113548.0,260356.0,-157835.0,-106220.0,17078.0,9288.0,3093096.0
SpectatoriS,3.0,-22.0,7.0,-5.0,-44.0,-14.0,2126.0,-131.0,-208.0,1883.0,153.0,659.0,243.0,8801.0,189.0,4398.0,5.0,109659.0,388.0,-20947.0,-4458.0,-461.0,3.0,10.0,-1550.0,5640.0,-1602.0,-1314.0,288.0,104.0,23787.0
VizitatoriM,40.0,-657.0,63.0,2742.0,387.0,-317.0,42225.0,-2889.0,-3870.0,56171.0,3996.0,29823.0,4306.0,181678.0,4398.0,150275.0,77.0,2626441.0,10583.0,-466144.0,-151217.0,-32861.0,91.0,294.0,-38941.0,127890.0,-72257.0,-47454.0,7229.0,2080.0,579992.0
SportiviL,0.0,-1.0,1.0,-13.0,-3.0,-1.0,134.0,5.0,-10.0,35.0,7.0,-8.0,16.0,179.0,5.0,77.0,1.0,1155.0,51.0,-638.0,-270.0,-28.0,0.0,0.0,-28.0,46.0,-28.0,-26.0,5.0,3.0,1661.0
PIB,-870.0,-16126.0,3529.0,40290.0,-39669.0,-2540.0,1142681.0,178590.0,-78865.0,1576229.0,130974.0,879615.0,375298.0,9045121.0,109659.0,2626441.0,1155.0,98180835.0,696781.0,-14915035.0,-1605259.0,-312249.0,2949.0,10065.0,-1203336.0,3550673.0,-1711865.0,-1208484.0,192751.0,97171.0,28274690.0
SalariatiC,-5.0,-167.0,53.0,-879.0,-614.0,-18.0,14777.0,6120.0,-293.0,13077.0,1720.0,8888.0,6589.0,89758.0,388.0,10583.0,51.0,696781.0,16870.0,-118021.0,-19233.0,-6482.0,52.0,147.0,-8195.0,3137.0,-20460.0,-12338.0,833.0,1032.0,510466.0
PAgrVeg,-165.0,2832.0,-842.0,3585.0,8226.0,1306.0,-283658.0,-19471.0,21326.0,-253161.0,-23066.0,-116743.0,-59629.0,-1337593.0,-20947.0,-466144.0,-638.0,-14915035.0,-118021.0,2714399.0,494038.0,69206.0,-555.0,-1754.0,195828.0,-605536.0,244271.0,186208.0,-32779.0,-16174.0,-4881069.0
PAgrAnim,-87.0,585.0,-59.0,883.0,106.0,612.0,-81563.0,1239.0,5475.0,-51682.0,-4358.0,-28752.0,-6108.0,-50544.0,-4458.0,-151217.0,-270.0,-1605259.0,-19233.0,494038.0,263314.0,55117.0,-132.0,-410.0,29276.0,-97662.0,62977.0,43714.0,-5702.0,-2016.0,-847580.0
ServAgr,37.0,76.0,58.0,-1101.0,-289.0,51.0,-11530.0,-2390.0,-74.0,-13176.0,-818.0,-14177.0,-2387.0,4894.0,-461.0,-32861.0,-28.0,-312249.0,-6482.0,69206.0,55117.0,18875.0,-30.0,-121.0,4260.0,-9164.0,22296.0,13093.0,-640.0,-394.0,-237579.0
