,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,0.0,-0.0,-0.0,-11.0,-11.0,-0.0,36.0,-19.0,-3.0,-1.0,4.0,-28.0,8.0,-151.0,-1.0,57.0,1.0,660.0,12.0,-259.0,29.0,-100.0,0.0,-0.0,-34.0,515.0,-60.0,-12.0,-8.0,-5.0,63.0
RM,-0.0,4.0,0.0,-93.0,-450.0,1.0,-141.0,-3.0,8.0,-220.0,-34.0,4.0,-103.0,-723.0,10.0,-389.0,-3.0,-7420.0,-28.0,1037.0,1011.0,332.0,0.0,-3.0,89.0,-2252.0,-464.0,102.0,-2.0,-13.0,-1164.0
RMI,-0.0,0.0,5.0,5.0,-282.0,-3.0,135.0,61.0,-23.0,-42.0,-11.0,-99.0,-10.0,1345.0,-2.0,355.0,-4.0,3841.0,64.0,-29.0,278.0,-31.0,-0.0,-0.0,96.0,1095.0,1668.0,472.0,-6.0,-14.0,973.0
Emigranti,-11.0,-93.0,5.0,4503.0,21993.0,-4.0,3767.0,1077.0,-247.0,9209.0,860.0,1931.0,2726.0,45424.0,-307.0,5261.0,-64.0,148632.0,830.0,-11662.0,-37821.0,-348.0,-22.0,19.0,-1250.0,23249.0,14736.0,-1496.0,511.0,842.0,30479.0
Imigranti,-11.0,-450.0,-282.0,21993.0,158062.0,298.0,13993.0,1524.0,1366.0,45863.0,3967.0,7281.0,6845.0,201610.0,743.0,-10612.0,-479.0,-462944.0,3929.0,-28147.0,-157892.0,-16790.0,-103.0,-62.0,-14488.0,-175818.0,-43981.0,-28740.0,1369.0,3762.0,88948.0
RS,-0.0,1.0,-3.0,-4.0,298.0,3.0,-82.0,-1.0,29.0,10.0,-4.0,62.0,-46.0,-117.0,20.0,-286.0,-0.0,-7527.0,-26.0,356.0,238.0,-61.0,0.0,-0.0,-19.0,-2206.0,-940.0,-233.0,4.0,4.0,-304.0
Sal,36.0,-141.0,135.0,3767.0,13993.0,-82.0,17070.0,582.0,-1410.0,14914.0,1647.0,1951.0,6464.0,81381.0,-983.0,29068.0,-179.0,723660.0,4600.0,-68400.0,-38843.0,-14105.0,-48.0,-1.0,-3630.0,213975.0,45050.0,3535.0,-136.0,465.0,102382.0
CSom,-19.0,-3.0,61.0,1077.0,1524.0,-1.0,582.0,2090.0,36.0,84.0,-236.0,-663.0,-701.0,35178.0,298.0,3724.0,-62.0,-31123.0,572.0,8636.0,2064.0,-618.0,2.0,19.0,2556.0,-20290.0,28272.0,6588.0,228.0,-12.0,19565.0
AjSoc,-3.0,8.0,-23.0,-247.0,1366.0,29.0,-1410.0,36.0,306.0,-926.0,-113.0,-10.0,-747.0,-4070.0,245.0,-2805.0,17.0,-99072.0,-364.0,5113.0,4570.0,-982.0,5.0,7.0,55.0,-27262.0,-7171.0,-1542.0,4.0,-43.0,-5627.0
Pensie,-1.0,-220.0,-42.0,9209.0,45863.0,10.0,14914.0,84.0,-926.0,29499.0,3140.0,13089.0,11494.0,79344.0,-1744.0,19492.0,-130.0,956213.0,1942.0,-74390.0,-104280.0,-2246.0,-82.0,35.0,-7102.0,228031.0,-7614.0,-19609.0,1432.0,2623.0,98532.0
PopScolara,4.0,-34.0,-11.0,860.0,3967.0,-4.0,1647.0,-236.0,-113.0,3140.0,450.0,1260.0,1600.0,2760.0,-247.0,3577.0,30.0,138552.0,110.0,-13181.0,-12917.0,-1896.0,-7.0,22.0,-1216.0,37921.0,-1752.0,-3132.0,116.0,265.0,11528.0
PaturiUS,-28.0,4.0,-99.0,1931.0,7281.0,62.0,1951.0,-663.0,-10.0,13089.0,1260.0,14572.0,6065.0,-9416.0,-1189.0,-1675.0,-32.0,614131.0,-1909.0,-22171.0,-42888.0,13370.0,-43.0,-2.0,-1957.0,124670.0,-49932.0,-21383.0,1495.0,1850.0,18809.0
Medici,8.0,-103.0,-10.0,2726.0,6845.0,-46.0,6464.0,-701.0,-747.0,11494.0,1600.0,6065.0,6610.0,7768.0,-1257.0,14883.0,90.0,663580.0,285.0,-48699.0,-48139.0,-1900.0,-30.0,68.0,-3398.0,174265.0,-804.0,-10019.0,606.0,1076.0,44008.0
VolumeB,-151.0,-723.0,1345.0,45424.0,201610.0,-117.0,81381.0,35178.0,-4070.0,79344.0,2760.0,-9416.0,7768.0,1034928.0,2725.0,124902.0,-2689.0,718132.0,32272.0,-49322.0,-166339.0,-53960.0,-227.0,-181.0,18545.0,48585.0,579884.0,121982.0,2441.0,2768.0,666696.0
