,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,0.0,1.0,1.0,2.0,2.0,1.0,64.0,-15.0,6.0,2.0,7.0,19.0,62.0,286.0,-2.0,-86.0,-0.0,238.0,5.0,256.0,-170.0,7.0,-0.0,0.0,-28.0,-469.0,-192.0,-55.0,-3.0,1.0,539.0
RM,1.0,8.0,4.0,23.0,9.0,4.0,226.0,-145.0,36.0,-132.0,15.0,-141.0,55.0,-144.0,55.0,-650.0,-6.0,-14035.0,49.0,2747.0,-693.0,145.0,-1.0,0.0,103.0,-3005.0,-459.0,-177.0,-11.0,9.0,2555.0
RMI,1.0,4.0,3.0,7.0,4.0,2.0,247.0,-60.0,16.0,-38.0,21.0,12.0,159.0,512.0,-1.0,-424.0,-3.0,543.0,-2.0,1063.0,-615.0,76.0,-1.0,1.0,-95.0,-1923.0,-768.0,-228.0,-16.0,1.0,2364.0
Emigranti,2.0,23.0,7.0,118.0,83.0,16.0,171.0,-483.0,164.0,-777.0,39.0,-378.0,441.0,2061.0,140.0,-1041.0,3.0,-88537.0,414.0,10789.0,-934.0,255.0,-4.0,2.0,350.0,-5270.0,-153.0,-503.0,17.0,84.0,7466.0
Imigranti,2.0,9.0,4.0,83.0,90.0,12.0,180.0,-254.0,123.0,-757.0,57.0,83.0,922.0,4920.0,-56.0,-281.0,17.0,-60627.0,323.0,7054.0,-456.0,73.0,-3.0,4.0,-391.0,-1182.0,-1301.0,-887.0,6.0,73.0,9149.0
RS,1.0,4.0,2.0,16.0,12.0,2.0,114.0,-74.0,24.0,-124.0,12.0,-34.0,125.0,484.0,10.0,-274.0,-0.0,-10057.0,44.0,1634.0,-318.0,62.0,-1.0,1.0,-24.0,-1220.0,-368.0,-173.0,-5.0,10.0,1997.0
Sal,64.0,226.0,247.0,171.0,180.0,114.0,21477.0,-3408.0,907.0,-656.0,1804.0,3554.0,14373.0,49134.0,-947.0,-32374.0,-258.0,375975.0,-1482.0,53706.0,-51120.0,5231.0,-68.0,46.0,-11136.0,-145893.0,-69985.0,-19396.0,-1505.0,-189.0,189069.0
CSom,-15.0,-145.0,-60.0,-483.0,-254.0,-74.0,-3408.0,2690.0,-715.0,3846.0,-217.0,2750.0,-1388.0,456.0,-868.0,10981.0,69.0,340605.0,-1152.0,-55412.0,10229.0,-2796.0,26.0,-7.0,-1308.0,47506.0,8282.0,4085.0,168.0,-239.0,-55146.0
AjSoc,6.0,36.0,16.0,164.0,123.0,24.0,907.0,-715.0,256.0,-783.0,135.0,-154.0,1268.0,6130.0,130.0,-2027.0,-1.0,-96817.0,555.0,14959.0,-3021.0,299.0,-7.0,6.0,100.0,-11162.0,-2204.0,-1128.0,-13.0,114.0,13818.0
Pensie,2.0,-132.0,-38.0,-777.0,-757.0,-124.0,-656.0,3846.0,-783.0,25797.0,900.0,10602.0,-70.0,32516.0,212.0,19400.0,-127.0,1201354.0,-784.0,-131329.0,-10521.0,-11724.0,54.0,-6.0,7616.0,7861.0,30436.0,21370.0,544.0,-410.0,-237846.0
PopScolara,7.0,15.0,21.0,39.0,57.0,12.0,1804.0,-217.0,135.0,900.0,261.0,1167.0,2157.0,11634.0,-160.0,-1332.0,-7.0,53214.0,144.0,1804.0,-5020.0,-342.0,-4.0,8.0,-916.0,-11080.0,-4965.0,-1067.0,-76.0,31.0,8493.0
PaturiUS,19.0,-141.0,12.0,-378.0,83.0,-34.0,3554.0,2750.0,-154.0,10602.0,1167.0,11179.0,10917.0,74975.0,-2243.0,12239.0,118.0,707859.0,-102.0,-69014.0,-10087.0,-7061.0,19.0,37.0,-6645.0,19417.0,-10771.0,961.0,-2.0,-25.0,-43634.0
Medici,62.0,55.0,159.0,441.0,922.0,125.0,14373.0,-1388.0,1268.0,-70.0,2157.0,10917.0,23290.0,122064.0,-2980.0,-8277.0,141.0,202111.0,1657.0,31334.0,-33864.0,-1790.0,-40.0,84.0,-15354.0,-56758.0,-55999.0,-17741.0,-726.0,480.0,149193.0
VolumeB,286.0,-144.0,512.0,2061.0,4920.0,484.0,49134.0,456.0,6130.0,32516.0,11634.0,74975.0,122064.0,735858.0,-15935.0,32164.0,1239.0,1713418.0,14743.0,-27842.0,-134795.0,-36594.0,-66.0,450.0,-62838.0,-93612.0,-176164.0,-47451.0,-787.0,3329.0,285407.0
SpectatoriS,-2.0,55.0,-1.0,140.0,-56.0,10.0,-947.0,-868.0,130.0,212.0,-160.0,-2243.0,-2980.0,-15935.0,969.0,-2068.0,-60.0,-128745.0,431.0,13345.0,-146.0,552.0,-2.0,-10.0,4028.0,-12934.0,8609.0,2857.0,115.0,43.0,-18484.0
