,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,2.0,-2.0,-0.0,-12.0,23.0,-1.0,470.0,-85.0,-8.0,-170.0,35.0,1.0,275.0,471.0,15.0,-510.0,5.0,16297.0,79.0,1103.0,311.0,52.0,-1.0,1.0,-152.0,-605.0,-231.0,-158.0,8.0,-2.0,5392.0
RM,-2.0,4.0,2.0,-22.0,-42.0,2.0,-782.0,203.0,9.0,327.0,-46.0,-13.0,-429.0,-229.0,-18.0,671.0,-5.0,-21860.0,-121.0,-874.0,-669.0,-53.0,1.0,-2.0,181.0,219.0,215.0,141.0,-8.0,5.0,-6505.0
RMI,-0.0,2.0,2.0,-43.0,-24.0,1.0,-290.0,235.0,1.0,357.0,-9.0,73.0,-100.0,567.0,-1.0,341.0,2.0,-5378.0,-43.0,-427.0,-420.0,-12.0,0.0,-2.0,13.0,-705.0,-147.0,-82.0,7.0,17.0,-1495.0
Emigranti,-12.0,-22.0,-43.0,1251.0,238.0,6.0,2568.0,-2234.0,63.0,-2017.0,-185.0,499.0,664.0,-14407.0,-101.0,3130.0,-90.0,-76758.0,102.0,-25321.0,6343.0,-793.0,7.0,7.0,1413.0,20994.0,3844.0,2875.0,-127.0,-47.0,-48984.0
Imigranti,23.0,-42.0,-24.0,238.0,509.0,-21.0,9252.0,-2566.0,-112.0,-4207.0,560.0,-20.0,5030.0,2708.0,221.0,-8490.0,57.0,264933.0,1444.0,12608.0,7907.0,680.0,-16.0,28.0,-2192.0,-2841.0,-2492.0,-1690.0,87.0,-87.0,80595.0
RS,-1.0,2.0,1.0,6.0,-21.0,1.0,-400.0,89.0,6.0,168.0,-29.0,7.0,-227.0,-323.0,-12.0,438.0,-4.0,-13450.0,-66.0,-924.0,-285.0,-42.0,1.0,-1.0,122.0,418.0,170.0,118.0,-6.0,3.0,-4431.0
Sal,470.0,-782.0,-290.0,2568.0,9252.0,-400.0,188694.0,-27853.0,-2457.0,-44862.0,11841.0,15913.0,111116.0,123635.0,4940.0,-136814.0,1495.0,5386546.0,28799.0,137127.0,143811.0,11841.0,-361.0,429.0,-47704.0,-128226.0,-77196.0,-47743.0,3152.0,951.0,1565358.0
CSom,-85.0,203.0,235.0,-2234.0,-2566.0,89.0,-27853.0,30511.0,214.0,51750.0,-1473.0,16134.0,-7325.0,49182.0,-341.0,63881.0,87.0,-901067.0,-5147.0,-170807.0,-38257.0,-4584.0,22.0,-232.0,4864.0,-46732.0,-15371.0,-5816.0,984.0,2884.0,-359915.0
AjSoc,-8.0,9.0,1.0,63.0,-112.0,6.0,-2457.0,214.0,40.0,470.0,-182.0,-186.0,-1515.0,-2889.0,-78.0,2175.0,-28.0,-82041.0,-398.0,-3932.0,-1524.0,-230.0,6.0,-5.0,785.0,3476.0,1395.0,902.0,-55.0,-17.0,-25950.0
Pensie,-170.0,327.0,357.0,-2017.0,-4207.0,168.0,-44862.0,51750.0,470.0,90675.0,-2877.0,30381.0,-11245.0,67431.0,-739.0,120304.0,26.0,-1717733.0,-8951.0,-351345.0,-58121.0,-9537.0,48.0,-408.0,10722.0,-52304.0,-22504.0,-6379.0,1617.0,5190.0,-721348.0
PopScolara,35.0,-46.0,-9.0,-185.0,560.0,-29.0,11841.0,-1473.0,-182.0,-2877.0,844.0,715.0,7130.0,11871.0,356.0,-10554.0,124.0,384252.0,1904.0,18392.0,7889.0,1060.0,-26.0,28.0,-3590.0,-14177.0,-6028.0,-3917.0,233.0,45.0,120736.0
PaturiUS,1.0,-13.0,73.0,499.0,-20.0,7.0,15913.0,16134.0,-186.0,30381.0,715.0,16583.0,15418.0,41117.0,484.0,30782.0,212.0,150806.0,1289.0,-148818.0,4845.0,-2666.0,-38.0,-97.0,-2768.0,-30405.0,-20864.0,-9218.0,1181.0,2419.0,-73685.0
Medici,275.0,-429.0,-100.0,664.0,5030.0,-227.0,111116.0,-7325.0,-1515.0,-11245.0,7130.0,15418.0,68594.0,98195.0,3070.0,-67112.0,1004.0,3166135.0,16719.0,36322.0,78211.0,6222.0,-225.0,196.0,-29211.0,-101605.0,-55246.0,-33046.0,2367.0,1570.0,892904.0
VolumeB,471.0,-229.0,567.0,-14407.0,2708.0,-323.0,123635.0,49182.0,-2889.0,67431.0,11871.0,41117.0,98195.0,371890.0,5699.0,-62315.0,2695.0,4905003.0,20266.0,99973.0,17400.0,12574.0,-422.0,-40.0,-56776.0,-441172.0,-150449.0,-91529.0,6476.0,6758.0,1525772.0
SpectatoriS,15.0,-18.0,-1.0,-101.0,221.0,-12.0,4940.0,-341.0,-78.0,-739.0,356.0,484.0,3070.0,5699.0,153.0,-3983.0,55.0,159857.0,786.0,6267.0,3101.0,418.0,-11.0,10.0,-1528.0,-6670.0,-2805.0,-1779.0,113.0,50.0,49361.0
VizitatoriM,-510.0,671.0,341.0,3130.0,-8490.0,438.0,-136814.0,63881.0,2175.0,120304.0,-10554.0,30782.0,-67112.0,-62315.0,-3983.0,231330.0,-1234.0,-5250118.0,-24979.0,-628910.0,-108782.0,-21842.0,283.0,-669.0,45158.0,118858.0,34050.0,32784.0,-392.0,5444.0,-1937141.0
SportiviL,5.0,-5.0,2.0,-90.0,57.0,-4.0,1495.0,87.0,-28.0,26.0,124.0,212.0,1004.0,2695.0,55.0,-1234.0,23.0,54330.0,247.0,2420.0,680.0,155.0,-4.0,2.0,-560.0,-3264.0,-1170.0,-743.0,47.0,30.0,17391.0
PIB,16297.0,-21860.0,-5378.0,-76758.0,264933.0,-13450.0,5386546.0,-901067.0,-82041.0,-1717733.0,384252.0,150806.0,3166135.0,4905003.0,159857.0,-5250118.0,54330.0,177037303.0,876833.0,9996121.0,3711159.0,516735.0,-11616.0,14449.0,-1629970.0,-6025624.0,-2533343.0,-1691360.0,94010.0,-7043.0,56709823.0
SalariatiC,79.0,-121.0,-43.0,102.0,1444.0,-66.0,28799.0,-5147.0,-398.0,-8951.0,1904.0,1289.0,16719.0,20266.0,786.0,-24979.0,247.0,876833.0,4540.0,38294.0,21492.0,2278.0,-57.0,75.0,-7827.0,-23226.0,-11852.0,-7701.0,454.0,-7.0,269033.0
PAgrVeg,1103.0,-874.0,-427.0,-25321.0,12608.0,-924.0,137127.0,-170807.0,-3932.0,-351345.0,18392.0,-148818.0,36322.0,99973.0,6267.0,-628910.0,2420.0,9996121.0,38294.0,2271598.0,90753.0,64896.0,-428.0,1642.0,-88645.0,-348969.0,-8243.0,-52462.0,-3611.0,-21847.0,4631399.0
PAgrAnim,311.0,-669.0,-420.0,6343.0,7907.0,-285.0,143811.0,-38257.0,-1524.0,-58121.0,7889.0,4845.0,78211.0,17400.0,3101.0,-108782.0,680.0,3711159.0,21492.0,90753.0,129952.0,7467.0,-225.0,404.0,-29346.0,-2152.0,-32718.0,-20395.0,1268.0,-779.0,1043183.0
ServAgr,52.0,-53.0,-12.0,-793.0,680.0,-42.0,11841.0,-4584.0,-230.0,-9537.0,1060.0,-2666.0,6222.0,12574.0,418.0,-21842.0,155.0,516735.0,2278.0,64896.0,7467.0,2273.0,-30.0,56.0,-4788.0,-20248.0,-5171.0,-4398.0,114.0,-427.0,196356.0
Silvicultura,-1.0,1.0,0.0,7.0,-16.0,1.0,-361.0,22.0,6.0,48.0,-26.0,-38.0,-225.0,-422.0,-11.0,283.0,-4.0,-11616.0,-57.0,-428.0,-225.0,-30.0,1.0,-1.0,111.0,490.0,207.0,131.0,-8.0,-4.0,-3566.0
SupLoc,1.0,-2.0,-2.0,7.0,28.0,-1.0,429.0,-232.0,-5.0,-408.0,28.0,-97.0,196.0,-40.0,10.0,-669.0,2.0,14449.0,75.0,1642.0,404.0,56.0,-1.0,2.0,-113.0,-48.0,-34.0,-52.0,-1.0,-19.0,5153.0
DrumuriM,-152.0,181.0,13.0,1413.0,-2192.0,122.0,-47704.0,4864.0,785.0,10722.0,-3590.0,-2768.0,-29211.0,-56776.0,-1528.0,45158.0,-560.0,-1629970.0,-7827.0,-88645.0,-29346.0,-4788.0,111.0,-113.0,15597.0,69700.0,27023.0,17739.0,-1036.0,-223.0,-524604.0
Innoptari,-605.0,219.0,-705.0,20994.0,-2841.0,418.0,-128226.0,-46732.0,3476.0,-52304.0,-14177.0,-30405.0,-101605.0,-441172.0,-6670.0,118858.0,-3264.0,-6025624.0,-23226.0,-348969.0,-2152.0,-20248.0,490.0,-48.0,69700.0,552936.0,169328.0,108173.0,-6880.0,-5629.0,-2067375.0
BugetVenituri,-231.0,215.0,-147.0,3844.0,-2492.0,170.0,-77196.0,-15371.0,1395.0,-22504.0,-6028.0,-20864.0,-55246.0,-150449.0,-2805.0,34050.0,-1170.0,-2533343.0,-11852.0,-8243.0,-32718.0,-5171.0,207.0,-34.0,27023.0,169328.0,67083.0,39846.0,-2947.0,-3033.0,-729928.0
BugetSubventii,-158.0,141.0,-82.0,2875.0,-1690.0,118.0,-47743.0,-5816.0,902.0,-6379.0,-3917.0,-9218.0,-33046.0,-91529.0,-1779.0,32784.0,-743.0,-1691360.0,-7701.0,-52462.0,-20395.0,-4398.0,131.0,-52.0,17739.0,108173.0,39846.0,24671.0,-1667.0,-1347.0,-524735.0
Apa,8.0,-8.0,7.0,-127.0,87.0,-6.0,3152.0,984.0,-55.0,1617.0,233.0,1181.0,2367.0,6476.0,113.0,-392.0,47.0,94010.0,454.0,-3611.0,1268.0,114.0,-8.0,-1.0,-1036.0,-6880.0,-2947.0,-1667.0,136.0,172.0,24038.0
Canal,-2.0,5.0,17.0,-47.0,-87.0,3.0,951.0,2884.0,-17.0,5190.0,45.0,2419.0,1570.0,6758.0,50.0,5444.0,30.0,-7043.0,-7.0,-21847.0,-779.0,-427.0,-4.0,-19.0,-223.0,-5629.0,-3033.0,-1347.0,172.0,373.0,-17982.0
Export,5392.0,-6505.0,-1495.0,-48984.0,80595.0,-4431.0,1565358.0,-359915.0,-25950.0,-721348.0,120736.0,-73685.0,892904.0,1525772.0,49361.0,-1937141.0,17391.0,56709823.0,269033.0,4631399.0,1043183.0,196356.0,-3566.0,5153.0,-524604.0,-2067375.0,-729928.0,-524735.0,24038.0,-17982.0,19410960.0
