Code,City,County,Orthodox,Roman_Catholic,Reformed,Pentecostal,Greek_Catholic,Baptist,Seventh-day_Adventist,Islam,Unitarian,Jehova_Witnesses,Evangelical,Old_Calendarists,Evangelical_Lutheran,Serbian_Orthodox,Romanian_Evangelical,Evangelical_Augustan,Judaism,Armenian_Apostolic,Other_Religion,Without_religion,Atheists
1017,Municipiul Alba Iulia,AB,51659,1195,582,1368,1226,961,61,25,47,309,52,16,21,5,93,23,14,0,81,116,62
1071,Ciugud,AB,2647,10,9,65,9,99,0,0,0,3,106,0,0,0,0,0,0,0,8,0,0
1151,Oras Abrud,AB,4416,28,34,74,12,123,0,0,0,16,6,0,0,0,0,0,0,0,0,39,0
1213,Municipiul Aiud,AB,16487,296,2759,227,730,188,98,5,225,100,18,20,8,4,4,3,0,0,36,28,18
1348,Municipiul Blaj,AB,14291,580,855,228,2732,327,0,0,8,45,49,0,24,0,21,0,0,0,22,9,7
1455,Oras Campeni,AB,6747,0,0,29,11,30,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0
1696,Oras Cugir,AB,18603,239,69,285,144,176,27,0,5,121,63,21,12,4,13,0,0,0,17,71,17
1794,Oras Ocna Mures,AB,9608,218,833,561,540,135,87,0,11,129,8,0,9,0,0,0,0,0,21,15,9
1874,Municipiul Sebes,AB,21643,177,61,823,202,244,6,8,3,251,92,16,71,0,107,98,0,0,36,42,8
1936,Oras Zlatna,AB,6949,31,22,6,7,38,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3
2130,Albac,AB,2012,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2309,Almasu Mare,AB,1211,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2381,Arieseni,AB,1659,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2577,Avram Iancu,AB,1488,0,0,62,0,21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2915,Oras Baia De Aries,AB,3298,11,10,16,4,15,0,0,5,6,3,0,0,0,0,0,0,0,0,0,0
2988,Berghin,AB,1728,5,7,13,14,22,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0
3039,Bistra,AB,4365,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3397,Blandiana,AB,817,0,0,0,0,33,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0
3459,Bucium,AB,1330,0,0,7,5,4,0,0,0,14,0,0,0,0,0,0,0,0,0,42,0
3761,Cenade,AB,617,0,4,3,255,6,0,0,0,0,3,0,33,0,0,0,0,0,0,0,0
3805,Cergau,AB,1367,0,0,19,9,31,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
3841,Ceru-Bacainti,AB,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3958,Cetatea De Balta,AB,1948,17,442,85,240,3,0,0,5,0,6,0,0,0,0,15,0,0,0,0,0
4008,Ciuruleasa,AB,1089,0,0,54,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
4106,Calnic,AB,1437,3,0,85,0,5,9,0,0,0,53,0,0,0,0,0,0,0,0,0,0
4142,Cricau,AB,1787,0,0,0,4,40,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
4188,Craciunelu De Jos,AB,1746,0,59,5,67,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4240,Daia Romana,AB,2193,0,0,90,178,40,4,0,0,173,0,0,0,0,0,0,0,0,0,10,0
4268,Dostat,AB,878,0,0,40,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
4302,Farau,AB,1005,0,339,104,31,0,3,0,9,14,0,0,0,0,0,0,0,0,0,0,0
4366,Galda De Jos,AB,3896,30,291,12,60,3,25,0,0,7,0,0,0,0,0,0,0,0,0,0,0
4482,Garbova,AB,1653,4,0,151,0,10,0,0,0,11,111,0,0,0,38,0,0,0,0,4,0
4525,Garda De Sus,AB,1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4703,Hoparta,AB,1064,3,9,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4767,Horea,AB,2065,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4927,Ighiu,AB,5610,17,25,263,29,47,5,0,0,15,13,0,0,0,0,0,0,0,0,6,0
4981,Intregalde,AB,532,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103,Jidvei,AB,3708,7,65,115,466,0,0,0,0,25,0,0,32,0,17,13,0,0,0,0,0
5167,Livezile,AB,1141,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5210,Lopadea Noua,AB,1213,11,1415,9,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5309,Lunca Muresului,AB,1596,43,532,57,3,28,10,0,7,41,0,0,0,0,0,0,0,0,13,0,0
5336,Lupsa,AB,2930,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,8,0,0
5577,Metes,AB,2635,0,0,28,3,42,43,0,0,18,20,0,0,0,0,0,0,0,0,4,0
5700,Mihalt,AB,2802,0,4,5,125,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5755,Miraslau,AB,1213,8,492,42,66,32,3,0,0,15,0,0,0,0,0,0,0,0,16,0,0
5826,Mogos,AB,692,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
6048,Noslac,AB,1307,3,222,32,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
6119,Ocolis,AB,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6164,Ohaba,AB,641,0,5,10,35,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6217,Pianu,AB,2954,9,0,25,6,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0
6271,Poiana Vadului,AB,1013,0,0,61,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,6,0
6397,Ponor,AB,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6468,Posaga,AB,919,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6547,Radesti,AB,837,0,205,0,107,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6592,Rametea,AB,155,44,58,5,0,0,0,0,804,31,0,0,0,0,0,0,0,0,0,8,0
6627,Ramet,AB,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6761,Rosia Montana,AB,2334,57,4,104,19,13,0,0,9,9,16,0,0,0,0,0,0,0,0,0,0
6930,Rosia De Secas,AB,1344,3,4,101,0,32,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
6976,Salciua,AB,1389,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
7044,Salistea,AB,1805,0,0,207,0,6,0,0,0,7,55,0,0,0,0,0,0,0,3,0,0
7099,Sasciori,AB,5223,9,0,230,0,0,0,0,0,24,0,11,0,0,3,0,0,0,17,18,0
7197,Scarisoara,AB,1614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7348,Sancel,AB,2209,0,3,8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7384,Santimbru,AB,2418,15,10,14,160,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7446,Sohodol,AB,1663,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7767,Stremt,AB,2313,0,7,7,5,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0
7810,Sibot,AB,1984,0,0,25,26,12,0,0,0,41,0,0,0,0,0,0,0,0,0,19,0
7865,Sona,AB,2730,4,560,20,195,0,0,0,334,23,4,0,3,0,0,7,0,0,8,0,0
7945,Spring,AB,2176,4,0,12,0,0,0,0,0,3,83,0,5,0,0,4,0,0,0,0,0
8014,Sugag,AB,2602,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8096,Oras Teius,AB,5114,70,212,17,786,48,18,0,0,54,15,0,0,0,0,6,0,0,7,11,4
8158,Unirea,AB,3727,86,393,170,80,10,17,10,5,35,0,0,0,0,0,0,0,0,3,0,3
8229,Vadu Motilor,AB,1237,0,0,0,0,13,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
8354,Valea Lunga,AB,2271,36,43,70,376,6,0,3,0,4,0,0,11,3,3,0,0,0,0,0,0
8425,Vidra,AB,1462,3,0,96,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
8826,Vintu De Jos,AB,4327,55,18,89,38,11,20,4,0,8,0,0,0,0,0,0,0,0,0,4,0
9019,Cut,AB,1051,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
9026,Bucerdea Granoasa,AB,1697,4,391,11,9,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9262,Municipiul Arad,AR,108816,14916,3904,6905,1322,6234,887,111,42,501,99,38,333,220,169,73,98,0,457,286,323
9280,Fantanele,AR,2129,250,153,241,0,130,3,0,0,0,4,4,3,0,3,8,0,0,10,0,0
9333,Livada,AR,1875,146,161,553,6,37,4,0,0,4,0,0,0,0,0,0,0,0,0,5,0
9360,Sofronea,AR,1377,805,33,25,5,151,87,0,0,0,0,0,4,0,0,0,0,0,0,0,0
9397,Vladimirescu,AR,8340,395,49,648,71,246,54,5,0,43,28,4,0,5,4,0,3,0,36,31,6
9459,Oras Chisineu-Cris,AR,5228,606,1097,234,24,225,43,0,0,13,0,0,4,0,0,0,0,0,7,0,5
9495,Oras Curtici,AR,5378,267,15,388,6,535,141,0,0,16,0,0,0,0,0,0,0,0,0,15,9
9538,Oras Ineu,AR,7270,635,75,373,27,226,116,0,0,27,0,4,26,7,9,10,11,0,52,3,7
9574,Oras Lipova,AR,7293,637,45,1082,91,223,36,0,0,40,10,0,5,5,0,0,0,0,28,15,10
9627,Oras Nadlac,AR,3155,941,41,322,141,65,0,0,0,5,0,0,2373,7,0,5,0,0,8,11,5
9654,Oras Pancota,AR,4098,545,108,1340,5,209,134,0,0,10,12,0,3,10,5,0,4,0,43,8,3
9690,Oras Sebis,AR,4158,98,63,823,12,518,30,0,0,4,0,0,0,4,0,0,7,0,0,0,3
9743,Almas,AR,1776,0,0,455,9,227,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9798,Apateu,AR,2803,3,0,20,0,63,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9832,Archis,AR,1048,0,0,62,0,226,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9887,Bata,AR,905,62,0,80,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9930,Beliu,AR,2150,62,4,125,251,198,163,0,0,9,0,0,0,0,0,0,0,0,0,4,0
10006,Birchis,AR,1578,7,0,148,0,52,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10051,Barsa,AR,1505,8,4,124,0,80,25,0,0,3,0,0,0,0,0,0,0,0,6,0,0
10104,Barzava,AR,2167,8,3,233,138,44,5,0,0,13,0,0,0,12,0,0,0,0,0,0,0
10195,Bocsig,AR,2395,55,9,131,341,74,13,0,0,5,0,4,0,0,0,0,0,0,40,3,0
10239,Brazii,AR,606,6,0,470,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10293,Buteni,AR,2742,20,5,280,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10346,Carand,AR,581,4,0,179,0,214,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0
10373,Cermei,AR,2131,141,30,81,0,99,130,0,0,4,0,0,0,0,0,0,0,0,0,0,0
10417,Chisindia,AR,1139,0,0,86,0,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10453,Conop,AR,1818,7,3,299,3,27,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
10514,Covasint,AR,1734,21,5,454,0,98,126,0,0,0,0,0,0,0,0,0,0,0,3,0,0
10532,Craiva,AR,2195,6,0,214,0,177,71,0,0,34,0,0,0,0,0,0,0,0,0,8,0
10649,Dezna,AR,1018,3,0,54,0,95,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10701,Dieci,AR,1191,0,0,95,0,141,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10765,Ususau,AR,947,4,0,368,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10827,Felnac,AR,2377,19,3,203,8,34,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0
10872,Ghioroc,AR,2414,559,50,181,7,84,283,0,0,8,5,0,0,0,0,0,0,0,3,30,0
10916,Graniceri,AR,1982,37,4,43,13,51,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10943,Gurahont,AR,2993,19,4,578,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
