County,Orthodox,Roman_Catholic,Reformed,Pentecostal,Greek_Catholic,Baptist,Seventh-day_Adventist,Islam,Unitarian,Jehova_Witnesses,Evangelical,Old_Calendarists,Evangelical_Lutheran,Serbian_Orthodox,Romanian_Evangelical,Evangelical_Augustan,Judaism,Armenian_Apostolic,Other_Religion,Without_religion,Atheists,Regiune
ab,0.8773385538081351,0.010410863401380022,0.03441342799075005,0.019953376761209965,0.028888978801676943,0.00943358055891864,0.0015094973840565952,0.00017118011571775824,0.004596964198456889,0.0053283701474327655,0.0025396904441034674,0.0002925623795903504,0.0007749790693403963,4.979785184516603e-05,0.0009554962822791232,0.0005259898101145662,4.3573120364520276e-05,0.0,0.0009212602591355715,0.001444137703509815,0.0004077199119822969,
ag,0.9798037986191473,0.0013101616545761346,0.000137643442309555,0.005327311007906851,0.00013594414055264693,0.00040613311990103266,0.001430812079316609,0.000334762446110893,5.0979052707242595e-06,0.0003381610496247092,0.006798906329389254,0.00015463645987863587,3.568533689506981e-05,8.496508784540433e-06,0.0025778407652295673,4.4181845679610245e-05,2.7188828110529383e-05,1.6993017569080866e-05,0.00023620294421022403,0.0003415596531385254,0.0005284828463984149,
ar,0.7385436734532164,0.0881764469911202,0.024259727910696863,0.07161782695041082,0.010509164565989333,0.03639578246722696,0.011192606936444811,0.00030953005908309765,0.00014857442835988687,0.002528241522590742,0.0005819165110762236,0.00015600314977788122,0.008273119419173035,0.001619461269122767,0.000611631396748201,0.00032933998286441594,0.0003045775781377681,0.0,0.0021147093636557234,0.0013371698552389819,0.0009904961890659127,
b,0.9558984910423889,0.01333302833531883,0.0007771429672173286,0.003039947315606126,0.0024175105781137035,0.002013588865485642,0.0024385795199050333,0.0054400007705213,6.200288584305564e-05,0.001079933759247008,0.0011407327055591306,0.0006423017397528192,0.00024981745266862226,0.0002823238200038165,0.0010709042127650097,0.00021129138767876244,0.0008782738878157105,6.501273467038844e-05,0.002295310715723992,0.0018077152056960788,0.004856090098018737,
bc,0.812543168945987,0.16660623014228484,0.0001554082055532532,0.00946263296035364,0.0002521066445641663,0.0010412349772067964,0.0036935350186489847,0.00020375742505870977,1.0360547036883547e-05,0.0007321453239397706,0.001296795137449924,0.002674747893355436,3.280839895013123e-05,5.007597734493715e-05,0.0002970023483906617,3.798867246857301e-05,8.461113413454897e-05,5.1802735184417735e-06,0.0002486531288852051,0.00022620527697195746,0.00034535156789611824,
bh,0.5900461662204299,0.08876438333021151,0.17488990990792466,0.0697029128424362,0.0223412186853829,0.040276997322579576,0.003340348248291262,0.0004003276075467263,0.00047745494478049926,0.00230096556080756,0.0011036554685118463,0.0001928183430844324,0.0005307095347752473,5.509095516698068e-06,0.00022954564652908618,7.16182417170749e-05,0.00025525475894034384,9.181825861163448e-06,0.0025470384938867403,0.0016251831774259302,0.0008888007433606217,
bn,0.8276680505804039,0.011056703948353362,0.04257999496094734,0.07395722647620508,0.01921412687458236,0.008022317891192978,0.0056415480846122665,0.00018622585910370589,0.0001752713968034879,0.005824122456282567,0.0007777668233154776,8.763569840174395e-05,0.0009457352452521535,0.0,0.0005331171652772758,0.00043452700457531374,0.00010589313556877394,0.0,0.0014532919984955872,0.0009493867326855594,0.00038705766794103576,
br,0.982747865349515,0.0026371638771259865,5.610986972608482e-05,0.0028715050977466934,0.000326757476640141,0.00151496648260429,0.002188284919317308,0.0007327288870112253,0.0,0.00043237605494806535,0.00013202322288490546,0.005092795822785228,1.3202322288490546e-05,7.591335315882063e-05,2.640464457698109e-05,2.3104064004858455e-05,8.911567544731118e-05,1.980348343273582e-05,0.00016832960917825447,0.0003894685075104711,0.0004620812800971691,
bt,0.9528023373789926,0.0014214478425269733,1.7799883537904853e-05,0.028462013777109857,0.00010425646072201413,0.002896295335667661,0.005978218028230615,0.00011188498223825907,0.0,0.001457047609602783,0.004737311861588106,0.0009713650730685219,1.0171362021659915e-05,1.7799883537904853e-05,1.5257043032489874e-05,7.628521516244937e-06,0.0001551132708303137,1.2714202527074894e-05,0.00030514086064979744,0.00027208393407940275,0.00024411268851983798,
bv,0.8541876214730264,0.034608747419762144,0.022219714670926045,0.02085396388737031,0.006587510189629243,0.003258735843954218,0.004217874214741938,0.00043579512181835515,0.009817063324533125,0.004747054005521369,0.004575848779092729,0.0005953272646268601,0.02016914298165575,0.00020816999122573216,0.0036225469501150773,0.0034688513491166395,0.00013813148950492506,0.0,0.002589479049733173,0.0020097158965998252,0.0016887060970461262,
bz,0.985383573566166,0.001061151162844816,3.257920236804259e-05,0.004677442625697544,0.00011868138005501231,0.0004351650602017118,0.006136525474609166,0.00016289601184021297,0.0,0.00022107315892600331,0.0007330320532809584,6.981257650294842e-06,0.0,0.0,0.00039095042841651113,6.981257650294842e-06,9.308343533726456e-06,0.0,0.00012100846593844392,0.0002140919012757085,0.00028855864954552014,
cj,0.7313697027036636,0.03487910113888103,0.11387573566582104,0.03242263044879673,0.03580356273275794,0.011013151161837978,0.005288600522830955,0.0014887232690693392,0.010935855041948604,0.008918426312835948,0.0012197327718543184,0.00027826603160174563,0.0007435886733357759,0.00020715360130352177,0.0003277355483309449,0.00011749010223184816,0.00025507719563493353,7.729611988937379e-05,0.004880477009815061,0.0030748396491992896,0.002822854298359931,
cl,0.9834095320936449,0.0009865175928970734,2.828724280708454e-05,0.0071496006194906175,0.0001202207819301093,0.0005763525721943475,0.0031823148157970106,0.002118007305180455,0.0,0.0005056344651766362,0.0007496119343877403,0.00016265164614073612,0.0,0.0,0.00016618755149162167,0.0,0.0,0.0,0.000473811317018666,0.00014497211938630826,0.00022629794245667632,
cs,0.8338462785974664,0.06158660420406253,0.0034241400027275174,0.03303613223298895,0.0065939574433579425,0.03980700971954487,0.001898204630144964,0.00011794669546531815,1.1057502699873576e-05,0.0008403702051903918,0.0005971051457931731,0.000287495070196713,0.00012900419816519172,0.014474271034134512,0.0003980700971954487,0.0001437475350983565,0.00011426086123202694,0.0,0.0014190461798171089,0.0007261093439583648,0.0005491893007603876,
ct,0.9084126197291204,0.00622671378543902,0.0001998816700513296,0.004151142523626013,0.0003949661800214273,0.0019668356333050834,0.0022850472520268,0.06919103890496826,0.0,0.00045253210099621027,0.00014231574907654668,0.004483745622591426,4.637254745190847e-05,0.0003693813262548571,0.00022226841709707852,2.7183907126980828e-05,4.637254745190847e-05,3.677822728944465e-05,0.0004397396741129252,0.00020148072341174026,0.0007035834785806802,
cv,0.21366925204218468,0.36219981235969956,0.3329829404512209,0.023165226617415182,0.0010806509448327694,0.002215334436907177,0.004273483281838678,0.00010315304473403707,0.042602207475157305,0.006159710385546785,0.00037822783069146925,4.4208447743158746e-05,0.004067177192370605,0.0,0.00044699652718082727,0.0005452375221656245,2.9472298495439163e-05,0.0,0.0019206114519527853,0.0038412229039055707,0.00027507478595743216,
db,0.9648057742309332,0.0016032858352398624,0.00010408347494690742,0.014139339750479886,9.407544850970478e-05,0.0005604494804833476,0.008366710101501404,0.0002421942397803038,0.0,0.0003222584512779249,0.00520017053677049,8.406742207250215e-05,1.6012842299524218e-05,8.406742207250215e-05,0.0033947225674991342,4.0032105748810545e-05,0.0,0.0,0.0003362696882900086,0.00021417176575613643,0.00039231463633834334,
