Judet,Pondere
if,0.017788851398883143
sm,0.014664691934035745
vl,0.013783407841591228
ab,0.012710363734144837
sb,0.010363542032192856
cv,0.009062625627042804
tm,0.008226766044278725
ag,0.007838770049340325
cj,0.007795824693606925
ph,0.007585922307306454
mm,0.007493391258407023
ms,0.007473773878514702
hr,0.007324986743122152
bz,0.00697259810696049
bn,0.006959240037633919
bc,0.006708671653588591
cl,0.0066657850323685736
bv,0.006040965794258706
sv,0.006006546249332084
ar,0.006006151614746167
tl,0.00591672395168418
b,0.005701815365766047
br,0.005502553454178124
ct,0.005464672431253408
cs,0.0052909408249237734
vs,0.004816403198191459
il,0.004807103490508267
gl,0.004774972123589375
hd,0.0046935177564687396
gj,0.004650286958728703
db,0.004640774899724087
bh,0.004415028855078897
ot,0.004392305249670799
nt,0.004342507962706334
bt,0.004331688591686313
dj,0.0037868843102562637
tr,0.003728796160854056
sj,0.003492099377477776
gr,0.0032174195645108873
is,0.003050845985477539
vn,0.002946989933245826
mh,0.002296127245169945
