Indicativ,Judet,RS,Sal,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,BugetVenituri,BugetSubventii,Export
ab,Alba,3.8,2846,53150.456,33.878,3594.609,2740.233,32.381,1.465,3765.333,529.721,7533.115285
ar,Arad,2.2,2761,55418.602,157.433,5295.734,1616.382,96.087,1.652,3717.196,486.459,8050.258589
ag,Arges,3.8,3043,49787.616,332.472,2163.607,1149.456,1.614,1.427,2915.706,340.957,10781.96273
bc,Bacau,5.4,2825,34982.834,21.608,1849.033,1469.969,4.052,1.912,3386.404,544.994,1318.601812
bh,Bihor,2.3,2603,43818.908,3.923,3391.875,1689.481,23.319,1.125,3664.949,512.84,3690.832188
bn,Bistrita-Nasaud,3.4,2538,39193.641,45.979,2481.387,2415.871,8.944,2.211,4718.611,475.238,2389.47221
bt,Botosani,2.9,2671,28395.685,5.29,4135.428,2657.898,44.458,0.505,3412.085,788.218,826.3883746
br,Braila,4.3,2607,40979.09,9.034,4108.1,1615.821,820.454,0.328,3276.604,554.903,726.7805892
bv,Brasov,2.6,3111,63697.256,268.795,965.294,1408.741,55.617,1.375,3487.646,288.331,6354.495086
bz,Buzau,7.9,2644,36477.015,25.031,3396.195,2489.854,46.045,1.135,2933.714,374.248,1717.0832
cl,Calarasi,4.3,2769,32938.359,98.478,3534.586,2613.471,218.961,0.67,3426.179,758.067,1038.877494
cs,Caras-Severin,3.4,2650,40666.142,,2500.911,1775.964,5.316,2.616,3998.773,714.648,1332.697434
cj,Cluj,1.6,3744,75077.23,297.061,1663.847,900.383,10.143,0.46,4144.735,527.481,2544.838706
ct,Constanta,3,2918,59125.528,72.075,1739.657,902.265,63.224,0.094,3658.593,349.973,2863.825569
cv,Covasna,5.1,2579,39412.956,37.148,4727.093,1810.568,24.969,2.738,3342.365,438.351,1441.699316
db,Dambovita,3.2,2727,37828.054,38.634,4279.34,1077.731,1.318,0.686,2983.375,423.13,1343.88638
dj,Dolj,7.1,2967,42425.054,72.5,4717.605,1126.628,66.987,0.292,2953.404,358.97,4107.373486
gl,Galati,6.5,2809,37246.515,80.884,3100.631,903.786,107.675,0.115,3435.182,420.358,2226.043076
gr,Giurgiu,2.6,2892,25863.684,1.133,5052.161,1221.952,126.241,0.419,3537.44,709.225,277.1416487
gj,Gorj,3.8,2858,58000.083,7.011,2701.392,1291.96,0.653,1.224,3706.147,753.02,217.7130238
hr,Harghita,4.5,2483,40611.226,9.272,2223.324,1730.349,0.45,5.832,3456.817,543.739,988.4662382
hd,Hunedoara,3.4,2617,43901.896,110.494,1820.927,1412.281,6.567,1.906,3550.987,459.78,2163.635507
il,Ialomita,4.9,2651,40767.965,9.404,4275.46,2201.936,353.131,0.333,3391.192,624.559,659.8111433
is,Iasi,3.1,3327,43189.02,289.51,1817.45,943.464,50.666,0.359,3193.435,399.258,1235.091836
if,Ilfov,0.7,3348,61127.81,686.956,1069.268,237.752,117.727,0.098,3472.432,203.268,5792.374145
mm,Maramures,2.3,2595,39175.249,7.832,1989.995,1713.906,0.115,1.305,3438.711,619.347,3046.104012
mh,Mehedinti,6.4,2686,31997.335,,4854.711,1613.84,32.136,0.934,4288.213,782.362,561.9852604
b,Municipiul Bucuresti,1.2,4408,143449.305,703.87,6.239,1.232,403.638,,5638.656,99.484,6619.083708
ms,Mures,2.7,2975,42604.281,46.422,3281.61,1488.348,13.651,1.588,3281.371,406.942,1901.162051
nt,Neamt,5,2590,33134.144,18.631,2315.5,1570.607,51.857,2.744,3430.679,617.336,907.6609174
ot,Olt,5.9,2864,36288.609,16.322,5112.254,1463.778,224.735,0.25,3274.666,420.81,4121.330984
ph,Prahova,2.9,3021,51349.25,21.113,1745.298,898.861,9.994,0.721,3105.653,400.72,3476.523045
sj,Salaj,5.2,2677,43597.671,11.854,4628.578,1807.262,12.077,1.135,4320.221,681.391,3016.591431
sm,Satu Mare,3.7,2656,42012.604,9.941,5220.782,1272.133,46.552,0.52,3431.863,464.531,2959.734657
sb,Sibiu,2.8,3165,59045.328,471.354,1639.082,1357.304,7.939,1.156,3920.884,541.147,7685.464312
sv,Suceava,5.1,2646,32475.916,110.798,3409.562,2075.829,32.334,3.384,3595.893,526.252,863.0382775
tr,Teleorman,6.6,2539,32124.446,9.351,5974.418,1873.379,48.188,0.215,3270.421,588.507,475.5291584
tm,Timis,1.3,3536,70067.778,255.551,3413.149,2258.193,79.218,0.442,3392.749,338.325,10320.34742
tl,Tulcea,3,2821,40969.327,112.761,3329.256,2043.811,56.479,0.924,5544.406,1052.604,2851.016397
vl,Valcea,3.6,2606,43433.039,37.791,2994.271,2093.314,11.841,1.638,4010.948,671.641,926.4545054
vs,Vaslui,7.4,2673,24929.015,36.231,2436.661,1587.909,17.117,0.508,3840.167,801.634,479.7377447
vn,Vrancea,4.2,2561,34237.339,12.219,3341.083,1866.091,59.78,1.604,3559.836,542.654,767.8649756
