Indicativ,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30
ab,0.24035452215857053,-1.7092181540759486,-0.9316177244012589,0.9656335654380106,-1.221066478335015,-0.27154868241587476,-0.9526864539218213,2.0143178644085507,-1.0445214196046169,-0.5311176039764757,0.005436237486627762,-0.021514139964935834,-1.0590857601070545,0.005904028247502668,-0.473281365500669,-0.3837387085540186,0.2932681261281687,-0.8076899070070243,-0.46813046216331716,0.4718968200968787,0.057379745170834405,-0.7017665987089069,0.06331720693418452,0.26984427739636807,0.46418439018912855,0.015770094379597227,0.42716033956559896,0.18021693598461594,0.07420211697969338,0.07628089313391997,-0.12296877338225319
ar,-0.13604087877422277,0.918248314397272,-1.4788622071994226,0.7042924717708653,-1.334165386162816,0.0032650789992691586,0.20332113545383582,1.3277199825205503,-1.375855762468088,-0.3165531159349746,-0.2119037376271941,-0.020153584180306983,-1.1253958844485963,-0.3012460375654103,0.6864458358747576,-0.3082788857733922,0.8584713067172058,1.121350280726699,0.04793378891333014,0.5951208829361067,-0.03365466278347673,0.06857661595361342,-0.4187279430277963,0.008760897942674296,0.08357989325642742,-0.03365546944420728,-0.4620293099877595,-0.06238954526015435,-0.11277420059229805,0.13882037422537935,-0.0017825043695979819
ag,-1.4325849202411658,1.1006892859440565,-1.731227534511226,0.44859482043318444,0.652867041190901,0.3945771536513567,-1.6721968709318056,0.3383421830228608,1.1226447526481316,-0.9972158069011907,1.3945318333373125,0.4193189108766931,-1.1119229523836447,0.4628093218365732,-0.9575130266140838,0.0014493202978962032,1.0842213593268455,0.23615267575835308,-0.4797409467070181,-0.976427526747417,0.4183110845297869,0.41988756765639346,-0.30995933400958703,0.07645989754949674,0.14723459560814894,-0.20812412225980925,-0.1896916864811406,0.1505250064309822,0.194922928741405,0.06213745428605156,0.045301396072891444
bc,1.5530819213919158,0.5909694742826788,1.3905929010058813,-0.8786989531267001,0.9492567465272811,-0.20246190185562765,-0.7701948769976242,-0.7494288743195735,0.5847003160762904,0.2924951720822897,-0.18852326365431835,-0.356522816736544,-1.1148101398504955,0.8996231789325124,-0.11554838241130996,-0.28610007087009165,0.24834029813221134,-0.3507666279466195,0.5480084773715506,-0.3384180617445523,-0.3866369926644669,-0.2529089854887897,0.5508075498202027,0.1194126665942571,-0.42491808806278003,0.4870710127536286,-0.051538443630945466,0.24298600416342334,0.26817521724261917,0.14758679397273672,-0.10163094436558752
bh,-0.6636065412236113,-0.43554786744954954,-0.9145578355027889,-0.8430013063147072,-0.12184346305766178,1.2400912355236646,0.5231970962909361,-0.9119597648952161,-0.714525109509912,-0.5078454461816311,0.8702116867045206,0.2823561707354448,0.5130319777136921,-0.653874877690093,-0.4140236353443482,0.043299557283191605,-0.05484584183804933,0.026786075729816762,0.6123779983252599,0.19307820058712089,-0.09694801715449246,0.712692308182937,-0.14979622747518945,0.8623586818234855,0.12698872354005966,-0.12791001889181858,0.05049059838612445,0.07909226549162811,-0.21553173204768086,-0.02020093626966178,-0.13868827281886498
bn,0.39966419259118735,-1.0336155308029098,-0.8282484541745376,-1.9014699682366867,-2.69672386712067,0.27472540745851,-0.47759670057879006,-0.35166870040275505,1.2810824647910755,-1.7995334469150324,-0.4121220183985261,-0.08757361036184859,1.1991188365739645,0.056382797445721326,-1.1996881468639424,0.1813853891457939,0.22342816416792338,0.1967391454629572,1.417776522709866,0.18781946373937036,0.09563977769653209,0.15332767297665498,0.4309706777971912,-0.13402454889707005,0.19778879758999773,0.024333947010218914,0.05301334241193116,0.11558083898422547,-0.1340351741094791,-0.04485667064675456,0.028185543145350007
bt,2.832646236389726,0.881410290754428,1.695157322700051,-1.14383937909534,-1.6077432438250123,-0.14263094938431464,0.9379891016414492,0.06580069095859105,-0.8745162706345192,-0.955796142580365,0.533279544975752,1.101287063607936,0.31677195622175913,-0.10914997916599228,-0.08710456922785442,0.5782144862744536,-0.6124517961762896,0.19179052363865381,-1.1422730173038582,0.6867815598062367,1.0816154010992938,-0.05115402711086172,0.12294732590363758,0.2628324753393715,-0.19968330223135786,-0.13882397331394078,0.022986502025358468,0.2197882312631386,0.07284211926137596,-0.07950373554603922,0.001918545244250189
br,1.5144332005171355,-0.7005349560232942,0.04752518491933537,4.507577218336873,0.7004688155869723,-0.46551888637922834,2.2792582666359515,-1.0947144939932083,0.8744130226533485,-1.4179121187013193,-2.6139939218377,0.6994979653551477,-0.508156350497682,-0.8448784203671938,-0.034867960216865064,-0.5422678662148153,-0.7606971659754346,0.024358463815794193,0.1302607552357572,-0.5900434192014004,-0.11847440670681625,0.05237842953563459,-0.3041408475103297,0.33068565859904864,0.38510556695438186,0.10619572605930595,0.04574105290484212,0.045387267624174374,0.13377839052140553,-0.06292364666715332,0.07076124365598147
bv,-5.76510891932355,-2.878583543861527,-0.9241056969628977,-1.8159828463483958,4.478641629166784,-0.30152563888687656,1.6895596901600358,1.836585647091559,0.25291510574746645,0.3158898109954909,-0.13414825859845872,1.4658005144939323,0.83015234026966,0.023278235275151098,-0.018598970782135616,0.3251946633705453,0.07911678295068614,0.11865411315597642,-0.05853813635849185,0.5555342099655196,-0.3473974608904819,0.1386080318655449,0.35272273271524063,0.1881427719845002,0.05474536069606258,-0.0027801095414718953,0.0049795369804528705,-0.019475093178871434,0.13207469555158727,0.0857231323552279,0.06463525338707046
bz,2.590818186302889,-0.5193471466324588,0.08327364303094822,1.438012319380769,1.530065013558962,1.4282240315559112,-1.221686762349462,1.4512320647101853,0.49907993303825965,0.02574343225885833,-0.8255529005380576,-0.5756412797257402,0.3405046465565865,1.1915599087757283,-0.5622801434709982,0.51817679094506,-0.5509864597624385,-0.9026625311643304,0.1578606365846924,0.41584530936672665,0.5056538744517629,-0.00660090371546997,-0.17564473265752475,-0.4498318755259049,0.4329822202874621,0.053110225121204495,-0.09768194402000192,-0.09699221054436873,-0.032040725148406196,-0.0947313573042977,-0.0841302722017166
