Indicatori,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,0.9999999999999998,-0.5260947836217956,0.05207980262477504,0.002461226258092694,0.1753760447962737,-0.3490214125825771,0.3327796555907585,-0.03452657514948223,-0.2634256087634944,-0.0865709184708097,0.47617427167555476,0.08666735721728289,0.2975870261312838,0.22769392231209318,0.21799824462865552,0.07992613481996662,0.22273222481805727,0.22076642358419973,0.381589000399038,-0.2570626493148143,-0.1614728758657164,-0.14038082432338525,0.1294976803426551,0.268234497971256,-0.48180536158636833,0.043399420555848875,0.08033275260733562,-0.31920963691449533,-0.1133518927620998,0.07738920186930752,0.16474001924938858
RM,-0.5260947836217956,1.0000000000000002,0.12335264201013682,-0.3739853391456705,-0.33402614359544086,0.37571668251171353,-0.3496439008567791,-0.09816122548687621,0.3574551303129029,-0.21900084488037647,-0.531860526696295,-0.3071025823329754,-0.3655524799183656,-0.32940110760379365,-0.3003594069530854,-0.3083361292353059,-0.2789015139331917,-0.34709352381574105,-0.4475628226309556,0.5780829267404091,0.24155658335239671,0.31088722245711875,-0.19313529422795328,-0.3730015003468918,0.35894088266593266,-0.31519004334608425,-0.22067240766732374,0.2692690034001494,-0.1559403202722721,-0.3032112032034114,-0.27261683177393187
RMI,0.05207980262477506,0.12335264201013682,1.0,-0.1624282354291333,-0.2245734644276845,0.15017259570505326,-0.38251717158845244,0.10735453642337328,0.13605462203550203,-0.15280538150684106,-0.06396791379989744,-0.23393703802068605,-0.22716876044090775,-0.07465134228012259,0.025474627247193033,0.13011948502132348,-0.21449477751660007,-0.33540154352644425,-0.36412439017388765,0.13018382157478708,0.34907980226293794,-0.024246163468978378,0.20917305509744558,-0.2023087496697578,0.028574758911935536,0.09608792550884707,0.10861525960849054,0.36593943061356693,-0.04881664066827175,-0.11667758112350714,-0.11293529585892208
Emigranti,0.0024612262580926895,-0.37398533914567056,-0.1624282354291333,1.0,0.744280962609724,-0.008531847130611985,0.3001085036802564,-0.025371756922177035,-0.020971588089380624,0.20932920464399102,0.4099566723961839,0.27372199149628795,0.31134896069918466,0.3339262993104673,0.19170352330812584,0.23386858969887211,0.013921517252512812,0.18677029256975394,0.2835862347886506,-0.3915363923559612,-0.19873212175750005,0.0466343254568569,-0.15565872507918424,-0.03215236222312704,-0.02275831685816597,0.027884109333923327,0.2447946901867081,-0.03266639049074541,0.12128305953577745,0.2735213918807576,0.07900000840706117
Imigranti,0.1753760447962737,-0.33402614359544086,-0.22457346442768447,0.744280962609724,0.9999999999999997,0.1592152863503221,0.20057253198524005,-0.11020414817716577,0.14678681478438896,-0.022707896831161305,0.3017948520147425,0.16787278163142566,0.1480368604987177,0.269110476590832,0.05748733397382542,-0.05415240568716513,-0.13029008314412238,0.01494915309125197,0.15533254568938779,-0.22351492124692993,-0.1644508744975464,0.017807534960807326,-0.2059188698809394,-0.130058644132535,-0.12490919266113389,-0.1822080150228839,0.07990148418375263,0.035981831463792496,-0.19918258576434192,-0.011651199300321706,-0.1391286628083852
RS,-0.3490214125825771,0.37571668251171353,0.1501725957050533,-0.008531847130611964,0.15921528635032212,0.9999999999999999,-0.5183066264000361,-0.1689773959605079,0.908319619119574,-0.3029884629978952,-0.3178552953104462,-0.22757548026402835,-0.43094757615519663,-0.2255157021801419,-0.14571683894040455,-0.25903798485253043,-0.48118391049754766,-0.5489411879116278,-0.5097591128927785,0.432238373095224,0.2922467852633534,-0.015521816742908241,0.04548110750562248,-0.4210667816314415,0.31238893357124514,-0.2523598195232791,-0.27498552866940557,0.2389363975857845,-0.30712913953825594,-0.29594776870889217,-0.42877006885694896
Sal,0.33277965559075845,-0.34964390085677904,-0.38251717158845244,0.30010850368025643,0.20057253198524008,-0.5183066264000362,0.9999999999999998,-0.016963557579317817,-0.5087290328980039,0.4860335279076499,0.6708795131464068,0.5597613670052557,0.7897044148169398,0.6781835560475022,0.3664116829539926,0.19985016558087088,0.43703062377570995,0.8582632015553812,0.8090896170403536,-0.513381979923974,-0.5897378549357203,0.17008356835805044,-0.3029051305506798,0.3827773942659219,-0.45364290595841184,0.038722931481564006,0.3219704218168091,-0.5181590415383014,0.3912042367193675,0.5288497955155763,0.5184270472274323
CSom,-0.034526575149482236,-0.09816122548687622,0.1073545364233733,-0.025371756922177045,-0.11020414817716576,-0.1689773959605079,-0.01696355757931784,0.9999999999999999,-0.24637985976279644,0.39708351873519077,0.0949573201798231,0.30576298064946295,0.0974759095872572,0.22666284849021248,0.008761326264816523,0.12519434379654296,0.27543871583028556,0.19471778855039332,0.11874485155240688,-0.21440096787103818,0.07197888015711155,-0.14279977155887377,0.2236232165012435,1.662773180180129e-05,0.07451634479521992,-0.03580369999079583,0.3746803623119921,-0.05100430054762395,0.2419020121589422,0.3804988827732804,0.1650207510469929
AjSoc,-0.2634256087634944,0.3574551303129029,0.13605462203550206,-0.02097158808938062,0.14678681478438893,0.908319619119574,-0.5087290328980039,-0.24637985976279644,0.9999999999999999,-0.4089593073740649,-0.3299931219978223,-0.2968255687456763,-0.41955041279717326,-0.2668997978778654,-0.12293952831722793,-0.21577350009984678,-0.38703736623818563,-0.5910547539717698,-0.5009382744672763,0.45748705443321086,0.299441859398398,-0.11796359473273338,-0.0069384137650849425,-0.3783799664580018,0.28251749891028416,-0.323340304998466,-0.292264415937652,0.2850134254051992,-0.3980626890973136,-0.3695906388080031,-0.41433468087218306
Pensie,-0.08657091847080972,-0.21900084488037647,-0.15280538150684106,0.20932920464399107,-0.02270789683116132,-0.3029884629978953,0.4860335279076499,0.39708351873519077,-0.40895930737406494,1.0,0.4177334620519359,0.610671459552712,0.4840208067772108,0.44295166551583004,0.3759110012503502,0.515078136657402,0.2978790838184885,0.6351398313436842,0.44696735002240123,-0.6038276203069338,-0.5178777991150615,-0.025201797913846233,0.031337152869753755,0.18227086205046478,-0.13734037279875044,0.3125279612794194,0.18333954159305835,-0.4281524904454303,0.6135649504523603,0.7152953824393216,0.34479222379111624
