Indicatori,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30
RN,-0.3637007551361906,0.32565033791649445,0.01377616808116899,-0.5748275728802902,-0.1691298971885091,0.3981757981815434,0.17766882756808752,0.06661096456962032,0.12352735227058052,-0.0038732276227573096,-0.09514519274240821,0.10376736781605592,0.1859446925058721,-0.19454745789695918,0.047902337884278064,-0.07723457688593852,0.14045857531844733,-0.23241766696678237,0.05214205512137168,0.04506603501549086,-0.053856123071773704,0.04590785057565605,-0.053284418787030365,0.026035521270050266,-0.007542619336056051,0.056678449065743944,0.014671939748878983,-0.03966557429580747,-0.0006914948894239505,0.005375530788453416,-0.004240959652453284
RM,0.5608358626856806,-0.07596153604977336,-0.12287091300397537,0.6414678516967977,0.03248533661437253,0.035508298454350294,0.10806403165592006,-0.040255278948561485,0.12500270865262156,0.10494785226119914,0.14724764718010463,0.10939678627757879,-0.003967941460724899,0.0037639321766940303,0.16795345450993293,0.26091392282493536,0.15083893398563536,-0.08970128808476355,0.10311100047536392,0.09018744639140486,0.15339162076154958,0.07248393423799789,-0.015335993830498293,0.04329992647545264,0.008967735159829644,0.00880291851880423,-0.013615994674278651,-0.008351984257420104,0.0015379461686158703,0.0037299635355071315,-0.0031566471071278763
RMI,0.2700465361051168,-0.4405636528408679,-0.08254322099225046,-0.2651173657109255,-0.07293282841734826,0.18958890976003195,0.4221623917764532,-0.02907598664069828,0.4193045536179029,-0.2501184638180159,0.17165661016064368,-0.21460930228741962,-0.22685017081152659,-0.10595602222300737,0.18319501336327879,0.036374820394487674,-0.05840318926012463,0.00023596117215341094,-0.10752534077703768,0.023633300358392062,0.007792872351623264,-0.02572539895430619,0.01051449779654288,-0.07559562210970316,0.03679375906291117,0.015389535701608866,-0.0044220034914113715,0.012019248197158827,-0.002836904143821429,-0.015268410741917716,-0.0018872522627364152
Emigranti,-0.34179298648171424,0.019287079445275884,0.6779641314599855,-0.10760695565002508,0.07437444178929872,-0.41396285187094195,-0.02505338840189282,0.11401065401479687,-0.11111699678138924,-0.29628773931600527,-0.10089938197017485,-0.037313748279164824,-0.14827065826994118,-0.03221555603215019,0.13368861643337177,0.08392293265614854,0.02560712440593953,0.07549753056271362,0.1952336386817811,0.02509778757078065,-0.039971617811735735,-0.04424775380333739,-0.01183815783782446,-0.03223706505087241,-0.03781748460567695,0.08500457913711709,-0.03807824988948416,-0.033832419930512544,0.01746171964347876,0.005458034315627231,0.001423447120121725
Imigranti,-0.13004585853631967,0.26420176953766455,0.8134662831879746,-0.18223442389965389,-0.0002886893815996843,-0.22421193631860942,-0.07493609924978757,0.023061864393119337,-0.044326269585966,-0.2243143223304319,-0.10205845160482861,0.050585347008268444,0.08068099079019588,-0.05150291305491577,0.028790868225401726,0.03517284781269449,0.0653414338519863,0.02818413700007834,-0.2011389824036685,0.12188907642344515,0.09036198740059162,0.0893777191175178,-0.0074554753266907105,0.020814140818860308,0.0306272618867931,-0.07519362865670302,0.03430946121316633,0.017594290756236957,0.007798045613402895,-0.016238781528113914,-0.004726718225545104
RS,0.6055072711677005,-0.14148522058167562,0.44311225062318216,0.16897919150296084,0.28752697466572075,0.15313157379935258,-0.23488963493370704,0.1752412311531537,0.26359481532991563,0.10629420246199395,-0.0832919304331057,-0.23822330757096888,-0.03403776443823106,-0.025585008529878085,-0.1618765294188034,0.0003230773514977252,0.024936308706390575,-0.07145467077589876,-0.004190568817928014,0.010752956919916293,-0.001820825847068875,0.03685109727323831,0.02234035765366408,-0.05891582666659987,-0.02677555319949135,-0.04811147273698499,-0.019470500255995418,-0.07950179249489181,-0.05160113690463884,0.009176967976964198,0.016747749551563548
Sal,-0.8492318491271484,0.32770889464911973,0.11841785240545082,0.16785221283149807,-0.098065479339357,-0.024338844270206567,0.12097595702839693,0.05103340971386707,-0.0021654875209363533,0.1561047302531468,0.14393043689356372,0.020870961678662942,-0.05876672255603255,0.08272445482611594,0.00029239452925955027,0.02444406326613889,0.023694021186848335,-0.12090428844275342,-0.012257449537542127,-0.03353271618218643,0.01612349967180014,-0.021979939669386044,0.08386424738115172,-0.09712749511026103,0.01450119046514029,-0.01189674882026867,0.06564019525641734,-0.030379741703716538,0.06963525259906375,-0.006370354637177457,0.03478161008171043
CSom,-0.24370125247738184,-0.44562494196454094,-0.16629981491311918,0.029364411080177188,-0.4024294683430585,-0.1032936966971397,-0.41374366768864274,-0.042843069193505605,0.3030834829159073,-0.3124755027666109,0.14851987965467445,0.08740146010102948,0.29905669418838743,-0.15151332622209351,-0.13314096056971544,0.06718996340986837,-0.013511331956518064,0.04357390918225202,0.043286143547617444,-0.05854332739481094,0.021002438172410296,-0.020507627960213166,0.020982006507946172,-0.0033290768919300496,0.03528018560441146,-0.030974389879783813,-0.01902146429486689,-0.03631106959642695,0.0377643719290746,-0.0006489981413062266,-0.0059716496139697855
AjSoc,0.6272702023998069,-0.0630431709644904,0.4270898489310863,0.08420869313461184,0.2764189599816543,0.18774075060865447,-0.1959143342947225,0.3004748995443174,0.20964266610505825,0.14202749114901736,-0.017941272477541036,-0.23323068194328914,0.07344233598868001,0.08249483324597344,0.004391104951686668,0.06300779736269713,-0.01509113368468164,-0.07096553060752803,-0.00042059116619410947,-0.08053253320320794,-0.08401295153079576,-0.02015758249229457,-0.051995258139217425,0.0757430375679811,0.04772900915049868,0.0342745777422864,0.008796980351507569,0.04984961536276665,0.06195582254439404,-0.00927544262214109,-0.010778890581204596
Pensie,-0.6988566387353637,-0.3072586255240438,-0.0699008477281441,0.1831639751774862,0.22750986254775585,-0.21091102328762149,-0.27985832621417844,-0.22174754857409676,0.1326545251009115,0.015639218201809905,0.18592503725433576,0.04696049173116961,-0.07413637896788401,-0.05757828309032393,0.0552084477418912,-0.046004934062110425,0.04785400486919909,-0.12930109096996484,-0.11584167919935102,0.13817958262316588,-0.15303627022579422,0.005923406100900548,-0.016618780804764643,0.019041961087729355,-0.08482062061339996,-0.007480096071854267,-0.03475271272819444,0.03202737999819065,0.017501471747354513,0.029926103540115667,0.011265126818460725
